,TB_African,TB_African American,TB_Arab,TB_Asian,TB_Black,TB_Caucasian,TB_European,TB_Hispanic,TB_Jewish,TB_Latino,TB_Middle Eastern,TB_Native American,TB_Roma,TB_South American,TB_White,TB,BAmt_African,BAmt_African American,BAmt_Arab,BAmt_Asian,BAmt_Black,BAmt_Caucasian,BAmt_European,BAmt_Hispanic,BAmt_Jewish,BAmt_Latino,BAmt_Middle Eastern,BAmt_Native American,BAmt_Roma,BAmt_South American,BAmt_White,BAmt,PB_p,PB,BS_d,Acc_d
Baseline,0.03,-0.0423076923076923,0.0086206896551724,0.0106589147286821,-0.0196759259259259,0.03125,-0.0217391304347826,-0.0060975609756097,0.0357142857142857,0.0136054421768707,0.0178571428571428,-0.0416666666666666,-0.0357142857142857,0.0,0.0239361702127659,0.022589593824658825,0.05,0.0961538461538461,0.0124521072796934,0.0339147286821705,0.0347222222222222,0.09375,0.0869565217391304,0.0304878048780487,0.0357142857142857,0.0204081632653061,0.0357142857142857,0.0583333333333333,0.0595238095238095,0.0294117647058823,0.0345744680851063,0.047474489419808016,0.0,0.035907698999727566,0.0326086956521738,0.9406976744186046
African,0.05,-0.0115384615384615,0.0086206896551724,0.000968992248062,0.0052083333333333,0.015625,-0.0108695652173913,0.0,0.0,0.0017006802721088,-0.0178571428571428,-0.0083333333333333,0.0714285714285714,-0.0735294117647058,0.0159574468085106,0.019442508563786213,0.17,0.2115384615384615,0.0641762452107279,0.0939922480620155,0.1232638888888889,0.078125,0.2065217391304347,0.1219512195121951,0.119047619047619,0.0850340136054421,0.0892857142857142,0.175,0.1428571428571428,0.1911764705882352,0.125,0.13313131751512514,0.028216879845373057,0.0,0.0299243669845445,0.811046511627907
African American,0.08,0.0,-0.0201149425287356,-0.00484496124031,0.0092592592592592,-0.0625,0.0760869565217391,-0.0182926829268292,0.0595238095238095,0.0119047619047619,-0.0089285714285714,0.025,-0.0595238095238095,-0.0294117647058823,0.0398936170212766,0.03368567577233229,0.2,0.2538461538461538,0.0909961685823754,0.1133720930232558,0.1689814814814814,0.21875,0.1630434782608695,0.1890243902439024,0.2261904761904762,0.0884353741496598,0.0982142857142857,0.175,0.2976190476190476,0.2352941176470588,0.1356382978723404,0.17696035764206047,0.037159660994096594,0.0,0.0155902004454342,0.8218023255813953
Arab,0.05,-0.0307692307692307,0.0229885057471264,0.0281007751937984,-0.0248842592592592,-0.109375,0.0217391304347826,0.0121951219512195,-0.0238095238095238,0.0255102040816326,0.0357142857142857,-0.05,-0.0833333333333333,0.0588235294117647,0.0159574468085106,0.03954668976763117,0.17,0.1307692307692307,0.0977011494252873,0.1075581395348837,0.1197916666666666,0.234375,0.1739130434782608,0.0853658536585365,0.119047619047619,0.1071428571428571,0.1964285714285714,0.2,0.1309523809523809,0.1764705882352941,0.1223404255319148,0.1447904350581002,0.03219951755195833,0.0,0.0207388204795853,0.8183139534883721
Asian,-0.04,0.0269230769230769,0.0047892720306513,0.0348837209302325,-0.0277777777777777,-0.03125,0.0869565217391304,-0.0548780487804878,0.0357142857142857,0.0110544217687074,-0.0446428571428571,0.0166666666666666,-0.0238095238095238,-0.0441176470588235,0.0119680851063829,0.03302879369657357,0.14,0.0961538461538461,0.0775862068965517,0.0852713178294573,0.09375,0.1875,0.2391304347826087,0.1768292682926829,0.1547619047619047,0.0909863945578231,0.0982142857142857,0.1,0.0952380952380952,0.1029411764705882,0.0757978723404255,0.12094405353588458,0.039115988846596554,0.0,0.0254592330003222,0.8392441860465116
Black,0.07,-0.0038461538461538,0.0201149425287356,0.0261627906976744,-0.0075231481481481,-0.03125,0.0108695652173913,0.0304878048780487,-0.0714285714285714,0.0212585034013605,-0.0089285714285714,-0.0333333333333333,0.0238095238095238,-0.0588235294117647,0.0066489361702127,0.028299024953299317,0.21,0.1807692307692307,0.0814176245210727,0.0998062015503876,0.1163194444444444,0.1875,0.0978260869565217,0.1402439024390244,0.1904761904761904,0.0739795918367346,0.1517857142857142,0.2166666666666666,0.2142857142857142,0.2352941176470588,0.0837765957446808,0.15200980544156276,0.035657069703481724,0.0,0.0215462610899872,0.8453488372093023
Caucasian,-0.01,-0.0884615384615384,-0.0009578544061302,0.0,-0.0046296296296296,0.140625,0.1521739130434782,0.0426829268292682,0.0119047619047619,0.0,-0.0357142857142857,0.05,-0.0119047619047619,0.0147058823529411,0.0212765957446808,0.03900247666609839,0.21,0.2192307692307692,0.1044061302681992,0.1201550387596899,0.1296296296296296,0.265625,0.2391304347826087,0.1646341463414634,0.2023809523809523,0.1020408163265306,0.1428571428571428,0.2333333333333333,0.1785714285714285,0.1617647058823529,0.1382978723404255,0.17413716004696836,0.04515561162522035,0.0,0.04,0.834593023255814
European,0.04,-0.0653846153846153,-0.0067049808429118,0.00484496124031,-0.0335648148148148,-0.046875,0.1739130434782608,0.0060975609756097,0.1071428571428571,0.0144557823129251,-0.0178571428571428,-0.0166666666666666,0.0,0.0147058823529411,0.0132978723404255,0.03743407869396538,0.12,0.1346153846153846,0.0450191570881226,0.064922480620155,0.105324074074074,0.109375,0.1956521739130435,0.1280487804878048,0.2261904761904762,0.08078231292517,0.0714285714285714,0.1166666666666666,0.1428571428571428,0.1323529411764706,0.0877659574468085,0.11740007463265938,0.03654195966900064,0.0,0.0362760834670947,0.8462209302325582
Hispanic,0.03,0.0192307692307692,-0.0162835249042145,0.0077519379844961,-0.0133101851851851,-0.109375,0.0434782608695652,0.0792682926829268,0.0238095238095238,0.0034013605442176,0.0178571428571428,-0.025,-0.1071428571428571,0.0147058823529411,0.0305851063829787,0.03607998959645453,0.13,0.1884615384615384,0.0699233716475095,0.0930232558139534,0.1290509259259259,0.296875,0.108695652173913,0.1524390243902439,0.2619047619047619,0.0986394557823129,0.0892857142857142,0.1083333333333333,0.1071428571428571,0.1911764705882352,0.1023936170212766,0.14182299856477168,0.03456550258009776,0.0,0.0275752773375594,0.8427325581395348
Jewish,-0.04,-0.0192307692307692,-0.014367816091954,0.0125968992248062,-0.0133101851851851,0.046875,0.0652173913043478,0.0060975609756097,0.1666666666666666,0.0144557823129251,-0.0267857142857142,-0.0416666666666666,-0.1071428571428571,0.0441176470588235,0.0039893617021276,0.041501354523230186,0.12,0.1653846153846153,0.0756704980842911,0.0959302325581395,0.1059027777777777,0.078125,0.1739130434782608,0.1280487804878048,0.1666666666666666,0.0960884353741496,0.0446428571428571,0.1416666666666666,0.2023809523809523,0.1029411764705882,0.1183510638297872,0.12104751775350378,0.03673896019870599,0.0,0.0166950596252128,0.7834302325581395
