,BS_a,BS_d,Diff_Bias_a,Diff_Bias_d,Acc_a,Acc_d,Diff_BS_a,Diff_BS_d,straight_polarity_amb,gay_polarity_amb,lesbian_polarity_amb,bisexual_polarity_amb,pansexual_polarity_amb,TB_polarity_amb,PB_polarity_amb,diff_TB_polarity_amb,straight_polarity_dis,gay_polarity_dis,lesbian_polarity_dis,bisexual_polarity_dis,pansexual_polarity_dis,TB_polarity_dis,PB_polarity_dis,diff_TB_polarity_dis,straight_amount_amb,gay_amount_amb,lesbian_amount_amb,bisexual_amount_amb,pansexual_amount_amb,TB_amount_amb,PB_amount_amb,diff_TB_amount_amb,straight_amount_dis,gay_amount_dis,lesbian_amount_dis,bisexual_amount_dis,pansexual_amount_dis,TB_amount_dis,PB_amount_dis,diff_TB_amount_dis
Baseline,-0.0200995807127882,-0.0490566037735848,0.0069444444444444,0.0138888888888888,0.4560185185185185,0.5902777777777778,0.0,0.0,0.0086206896551724,0.0166666666666666,-0.0333333333333333,0.0159574468085106,-0.0214285714285714,0.0960067078922543,0.0,0.0,0.0,0.036036036036036,0.0057471264367816,-0.0497237569060773,0.0294117647058823,0.12091868408477721,0.0,0.0,0.5603448275862069,0.4583333333333333,0.5333333333333333,0.5053191489361702,0.5357142857142857,2.5930449289033293,0.0,0.0,0.1834862385321101,0.2792792792792792,0.293103448275862,0.2375690607734806,0.2058823529411764,1.1993203798019083,0.0,0.0
straight,-0.0049768518518518,-0.01,0.0208333333333333,-0.0231481481481481,0.2199074074074074,0.5023148148148148,0.015122728860936399,0.039056603773584796,0.0862068965517241,-0.1125,0.0611111111111111,0.026595744680851,-0.0857142857142857,0.3721280380579719,0.37612133016571736,0.2761213301657176,0.0091743119266055,0.0538116591928251,0.0182926829268292,-0.0119760479041916,-0.1472868217054263,0.24054152365587772,0.2539417869866365,0.11962283957110051,0.6379310344827587,0.5458333333333333,0.4611111111111111,0.4627659574468085,0.4714285714285714,2.5790700078025828,0.3441473348938501,-0.013974921100746496,0.4128440366972477,0.4125560538116592,0.4329268292682927,0.3592814371257485,0.3643410852713178,1.9819494421742658,0.7826290623723575,0.7826290623723575
gay,-0.0153579059829059,-0.0288461538461538,0.0092592592592592,0.0324074074074073,0.2430555555555555,0.4675925925925926,0.004741674729882298,0.020210449927431,-0.0517241379310344,0.0541666666666666,0.1277777777777777,-0.1382978723404255,0.0428571428571428,0.41482359757304704,0.47749697213196807,0.31881688968079275,0.019047619047619,0.0,-0.0613496932515337,0.0301204819277108,-0.0952380952380952,0.2057558894649587,0.32667457354973595,0.0848372053801815,0.6551724137931034,0.6875,0.55,0.6382978723404256,0.6142857142857143,3.1452560004192436,0.5522110715159139,0.5522110715159143,0.3428571428571428,0.4464285714285714,0.3558282208588957,0.3915662650602409,0.3968253968253968,1.9335055970302475,0.7341852172283392,0.7341852172283392
lesbian,-0.0026734480959832,-0.0046948356807511,0.011574074074074,0.0046296296296296,0.261574074074074,0.4305555555555556,0.017426132616805,0.044361768092833695,-0.0689655172413793,-0.0208333333333333,0.0555555555555555,-0.0425531914893617,0.0857142857142857,0.2736218833339155,0.3696285912261698,0.17761517544166122,-0.0654205607476635,0.055045871559633,-0.0121212121212121,-0.0055865921787709,-0.0451127819548872,0.18328701856216667,0.22096044621733013,0.06236833447738946,0.7413793103448276,0.6875,0.7,0.648936170212766,0.4857142857142857,3.2635297662718794,0.7704848373685498,0.6704848373685501,0.4392523364485981,0.3761467889908257,0.3878787878787879,0.3631284916201117,0.3157894736842105,1.8821958786225337,0.6828754988206256,0.6828754988206254
bisexual,-0.0312850729517395,-0.0606060606060605,0.0324074074074074,0.0138888888888888,0.2430555555555555,0.4837962962962963,-0.011185492238951298,-0.011549456832475699,0.0862068965517241,-0.0708333333333333,0.05,-0.0425531914893617,-0.0857142857142857,0.3353077070887048,0.37121589281347156,0.23930099919645048,-0.160377358490566,0.0504587155963302,-0.0538922155688622,0.0545454545454545,-0.1015625,0.4208362442012129,0.4696828562139181,0.29991756011643567,0.603448275862069,0.6541666666666667,0.5722222222222222,0.6382978723404256,0.5142857142857142,2.9824207513770977,0.4322329653309111,0.38937582247376845,0.3679245283018867,0.3256880733944954,0.4251497005988024,0.3696969696969697,0.2890625,1.7775217719921543,0.5782013921902459,0.578201392190246
pansexual,0.002782837482291,0.0054644808743169,0.0162037037037037,-0.0046296296296296,0.2199074074074074,0.4907407407407407,0.022882418195079197,0.054521084647901695,0.1120689655172413,-0.0916666666666666,0.1055555555555555,-0.0159574468085106,-0.0285714285714285,0.3538200631194025,0.3897282488441692,0.2578133552271482,-0.0560747663551401,-0.054054054054054,0.03125,0.0555555555555555,-0.0330578512396694,0.229992227204419,0.33941665841563295,0.10907354311964179,0.6810344827586207,0.6583333333333333,0.5277777777777778,0.5691489361702128,0.5714285714285714,3.0077231014685157,0.4257892836762976,0.41467817256518646,0.411214953271028,0.3603603603603603,0.31875,0.3395061728395062,0.2809917355371901,1.7108232220080846,0.5115028422061763,0.5115028422061763
