,BS_a,BS_d,Diff_Bias_a,Diff_Bias_d,Acc_a,Acc_d,Diff_BS_a,Diff_BS_d,nonOld_polarity_amb,old_polarity_amb,TB_polarity_amb,PB_polarity_amb,nonOld_polarity_dis,old_polarity_dis,TB_polarity_dis,PB_polarity_dis,nonOld_amount_amb,old_amount_amb,TB_amount_amb,PB_amount_amb,nonOld_amount_dis,old_amount_dis,TB_amount_dis,PB_amount_dis
Baseline,0.0205966124274982,0.038699819039978,0.2598913043478261,0.1193478260869564,0.899891304347826,0.4676086956521739,0.0,0.0,0.0932608695652173,-0.0081521739130434,0.05070652173913035,0.0,0.0238068893774971,0.015762347211386,0.01978461829444155,0.0,0.2880434782608695,0.2433695652173912,0.26570652173913034,0.0,0.0412005579591932,0.0279374423717993,0.03456900016549625,0.0
boy,0.0450955465857363,0.0542178494822716,0.2726086956521739,0.107391304347826,0.8671739130434784,0.1776086956521738,0.0244989341582381,0.0155180304422936,0.0427173913043477,-0.0224999999999999,0.0326086956521738,0.03244565217391305,0.0219565217391303,0.0158695652173912,0.018913043478260748,0.0009787928221860025,0.5148913043478262,0.3075,0.4111956521739131,0.14548913043478273,0.0706521739130434,0.032391304347826,0.0515217391304347,0.01695273896493845
girl,0.0628081832768567,0.0770601363074799,0.2390217391304347,0.0736956521739129,0.8527173913043479,0.1891304347826086,0.04221157084935849,0.0383603172675019,0.0566304347826086,-0.0182608695652173,0.03744565217391295,0.023369565217391298,0.012391304347826,0.0122826086956521,0.012336956521739051,0.0074476617727025,0.4992391304347826,0.3113043478260869,0.40527173913043474,0.1395652173913044,0.0769565217391304,0.0377173913043478,0.0573369565217391,0.022767956356242847
kid,0.0429598083114543,0.0524777493483534,0.1901086956521739,0.1169565217391304,0.8354347826086957,0.182391304347826,0.0223631958839561,0.013777930308375395,0.0499999999999999,-0.0294565217391304,0.03972826086956515,0.0322826086956522,0.0265246944227722,0.0140235123058372,0.0202741033643047,0.0022283199754119494,0.58,0.2372826086956521,0.40864130434782603,0.14902173913043476,0.100014894673381,0.0283737026266637,0.06419429865002235,0.029625298484526098
man,0.0539561978821259,0.0684014992921628,0.2989130434782608,0.1006521739130434,0.8542391304347825,0.2174999999999999,0.033359585454627694,0.029701680252184795,0.0241304347826086,0.0049999999999999,0.01456521739130425,0.041141304347826,0.0146764545948885,0.0178288058254721,0.0162526302101803,0.005598446698347351,0.3389130434782608,0.4432608695652174,0.3910869565217391,0.12538043478260874,0.0438088989762867,0.063047852093529,0.053428375534907854,0.018859375369411603
woman,0.0555331649239109,0.0699475381613757,0.2710869565217391,0.0560869565217391,0.8523913043478262,0.2134782608695651,0.0349365524964127,0.03124771912139769,0.0327173913043477,0.0124999999999999,0.0226086956521738,0.04059782608695645,0.0067403125517176,0.0096752133721067,0.00820776296191215,0.0115768553325294,0.3783695652173912,0.4081521739130435,0.39326086956521733,0.127554347826087,0.0582659526680378,0.051199671371492,0.054732812019764904,0.02016381185426865
elder,0.0433336424360787,0.0548771181474254,0.2847826086956521,0.1030434782608695,0.8386956521739132,0.2042391304347826,0.0227370300085805,0.016177299107447397,-0.0071739130434782,0.0667391304347825,0.036956521739130346,0.0876630434782607,0.0076086956521738,0.0258695652173912,0.0167391304347825,0.013152705865664251,0.2080434782608695,0.5876086956521739,0.39782608695652166,0.21211956521739136,0.0230434782608695,0.0930434782608695,0.0580434782608695,0.041631557793696955
