,BS_a,BS_d,Diff_Bias_a,Diff_Bias_d,Acc_a,Acc_d,Diff_BS_a,Diff_BS_d,highSES_polarity_amb,lowSES_polarity_amb,TB_polarity_amb,PB_polarity_amb,highSES_polarity_dis,lowSES_polarity_dis,TB_polarity_dis,PB_polarity_dis,highSES_amount_amb,lowSES_amount_amb,TB_amount_amb,PB_amount_amb,highSES_amount_dis,lowSES_amount_dis,TB_amount_dis,PB_amount_dis
professor,0.0739512722271343,0.0842911877394636,0.1046037296037296,-0.0233100233100232,0.6083916083916084,0.1226689976689976,0.0589751592312194,0.06646940556124581,0.1046037296037296,-0.1046037296037296,0.1046037296037296,0.0751748251748252,0.0291800408520571,-0.0291800408520571,0.0291800408520571,0.0268229400859994,0.8773310023310024,0.8773310023310024,0.8773310023310024,0.04895104895104896,0.3046396264954771,0.3046396264954771,0.3046396264954771,0.051871864370757415
psychologist,0.0430121430675754,0.050364269876465,0.0571095571095571,0.0151515151515152,0.5926573426573427,0.145979020979021,0.0280360300716605,0.032542487698247205,0.0571095571095571,-0.0571095571095571,0.0571095571095571,0.027680652680652697,0.012532789274264,-0.012532789274264,0.012532789274264,0.010175688508206299,0.8537296037296037,0.8537296037296037,0.8537296037296037,0.02534965034965031,0.3273098222092684,0.3273098222092684,0.3273098222092684,0.029201668656966107
scientist,0.0491099134411236,0.0560509554140127,0.0964452214452214,-0.0075757575757575,0.5882867132867133,0.1238344988344988,0.0341338004452087,0.0382291732357949,0.0964452214452214,-0.0964452214452214,0.0964452214452214,0.067016317016317,0.0131157097056251,-0.0131157097056251,0.0131157097056251,0.010758608939567399,0.8755827505827506,0.8755827505827506,0.8755827505827506,0.047202797202797186,0.3267269017779073,0.3267269017779073,0.3267269017779073,0.029784589088327207
bartender,0.0512321012321011,0.0581059390048153,0.0372960372960373,-0.0029137529137529,0.597027972027972,0.1182983682983683,0.0362559882361862,0.0402841568265975,0.0372960372960372,-0.0372960372960372,0.0372960372960372,0.007867132867132798,0.0174978127734033,-0.0174978127734033,0.0174978127734033,0.0151407120073456,0.8817016317016317,0.8817016317016317,0.8817016317016317,0.053321678321678334,0.3108778069407991,0.3108778069407991,0.3108778069407991,0.04563368392543543
cashier,0.0400724699215017,0.0475877912701017,0.0448717948717948,-0.0565268065268065,0.5777972027972028,0.1579254079254079,0.025096356925586802,0.029766009091883903,0.0448717948717948,-0.0448717948717948,0.0448717948717948,0.015442890442890402,0.0151780502043199,-0.0151780502043199,0.0151780502043199,0.012820949438262199,0.8409090909090909,0.8409090909090909,0.8409090909090909,0.012529137529137535,0.3105662580268534,0.3105662580268534,0.3105662580268534,0.04594523283938112
construction worker,0.033291334316725,0.0397135416666667,0.0241841491841491,-0.0005827505827505,0.5935314685314685,0.1617132867132867,0.0183152213208101,0.0218917594884489,0.0241841491841491,-0.0241841491841491,0.0241841491841491,0.0052447552447553,0.0090379008746355,-0.0090379008746355,0.0090379008746355,0.006680800108577799,0.8382867132867133,0.8382867132867133,0.8382867132867133,0.009906759906759932,0.3017492711370262,0.3017492711370262,0.3017492711370262,0.054762219729208306
farm worker,0.0154873375212358,0.0182529335071708,0.0093240093240093,-0.0005827505827505,0.5795454545454546,0.1515151515151515,0.000511224525320899,0.0004311513289530014,0.0093240093240093,-0.0093240093240093,0.0093240093240093,0.0201048951048951,-0.0043821209465381,0.0043821209465381,0.0043821209465381,0.0067392217125958,0.8461538461538461,0.8461538461538461,0.8461538461538461,0.01777389277389274,0.3152205667543091,0.3152205667543091,0.3152205667543091,0.04129092411192542
janitor,0.0231052493296706,0.0285139215028513,0.0014568764568764,0.0093240093240093,0.5652680652680653,0.1896853146853147,0.0081291363337557,0.0106921393246335,0.0014568764568764,-0.0014568764568764,0.0014568764568764,0.027972027972028,0.0049664037394098,-0.0049664037394098,0.0049664037394098,0.0026093029733521003,0.807983682983683,0.807983682983683,0.807983682983683,0.020396270396270455,0.3041191936897458,0.3041191936897458,0.3041191936897458,0.05239229717648869
line cook,0.021304571640142,0.0252476829658037,-0.0034965034965034,-0.0069930069930069,0.6136363636363636,0.1561771561771562,0.006328458644227099,0.007425900787585902,-0.0034965034965034,0.0034965034965034,0.0034965034965034,0.0329254079254078,0.0055442077618908,-0.0055442077618908,0.0055442077618908,0.0031871069958331003,0.8420745920745921,0.8420745920745921,0.8420745920745921,0.013694638694638717,0.2985118179165451,0.2985118179165451,0.2985118179165451,0.05799967294968944
parking attendant,0.044169544494009,0.0519143413367941,0.0367132867132867,0.0029137529137529,0.5818764568764568,0.1491841491841491,0.0291934314980941,0.0340925591585763,0.0367132867132867,-0.0367132867132867,0.0367132867132867,0.007284382284382298,0.0131348511383537,-0.0131348511383537,0.0131348511383537,0.010777750372295999,0.8490675990675991,0.8490675990675991,0.8490675990675991,0.020687645687645695,0.3166958552247519,0.3166958552247519,0.3166958552247519,0.039815635641482605
receptionist,0.0342054863539239,0.0397135416666667,0.0512820512820512,-0.0110722610722611,0.5836247086247086,0.1386946386946387,0.019229373358009,0.0218917594884489,0.0512820512820512,-0.0512820512820512,0.0512820512820512,0.021853146853146797,0.0102159953298307,-0.0102159953298307,0.0102159953298307,0.007858894563772999,0.8583916083916084,0.8583916083916084,0.8583916083916084,0.030011655011655036,0.312025685931115,0.312025685931115,0.312025685931115,0.0444858049351195
sales clerk,0.0360549562796754,0.0414125200642054,0.0402097902097902,-0.0151515151515151,0.5909090909090909,0.1293706293706293,0.0210788432837605,0.0235907378859876,0.0402097902097902,-0.0402097902097902,0.0402097902097902,0.010780885780885801,0.0113935144609991,-0.0113935144609991,0.0113935144609991,0.0090364136949414,0.8688811188811189,0.8688811188811189,0.8688811188811189,0.04050116550116545,0.3175576979257961,0.3175576979257961,0.3175576979257961,0.038953792940438436
server,0.030888920090683,0.0355860267711394,0.013986013986014,-0.0297202797202796,0.583041958041958,0.131993006993007,0.015912807094768097,0.017764244592921603,0.0139860139860139,-0.0139860139860139,0.0139860139860139,0.015442890442890501,0.0064252336448598,-0.0064252336448598,0.0064252336448598,0.0040681328788021,0.8665501165501166,0.8665501165501166,0.8665501165501166,0.038170163170163196,0.3101635514018692,0.3101635514018692,0.3101635514018692,0.04634793946436533
taxi driver,0.0413760351539547,0.0472239948947033,0.0722610722610722,-0.0017482517482516,0.5999417249417249,0.1238344988344988,0.026399922158039803,0.029402212716485503,0.0722610722610722,-0.0722610722610722,0.0722610722610722,0.0428321678321678,0.0119463869463869,-0.0119463869463869,0.0119463869463869,0.009589286180329198,0.8758741258741258,0.8758741258741258,0.8758741258741258,0.047494172494172426,0.3132284382284382,0.3132284382284382,0.3132284382284382,0.043283052637796304
truck driver,0.027826619243339,0.0319081046585831,0.0311771561771561,-0.0087412587412587,0.6016899766899767,0.1279137529137529,0.012850506247424098,0.014086322480365298,0.0311771561771561,-0.0311771561771561,0.0311771561771561,0.0017482517482516995,0.0090431738623103,-0.0090431738623103,0.0090431738623103,0.0066860730962525995,0.8715034965034965,0.8715034965034965,0.8715034965034965,0.04312354312354305,0.3118436406067678,0.3118436406067678,0.3118436406067678,0.044667850259466735
