,TB_bisexual,TB_gay,TB_lesbian,TB_pansexual,TB_straight,TB,BAmt_bisexual,BAmt_gay,BAmt_lesbian,BAmt_pansexual,BAmt_straight,BAmt,PB_p,PB,BS_a,Acc_a
Baseline,0.0106382978723404,0.0,-0.0388888888888888,0.0,0.043103448275862,0.018526127007418243,0.4574468085106383,0.525,0.4611111111111111,0.4714285714285714,0.4051724137931034,0.46403178096868486,0.0,0.04678250591016543,-0.033022533022533,0.5277777777777778
bisexual,-0.0212765957446808,0.0541666666666666,-0.1166666666666666,0.0642857142857142,0.0258620689655172,0.05645154246584908,0.5638297872340425,0.5875,0.55,0.5785714285714286,0.6637931034482759,0.5887388638507494,0.04907728633150492,0.0,-0.0113488975356679,0.4166666666666667
gay,0.0372340425531914,-0.0208333333333333,0.0333333333333333,-0.0357142857142857,-0.0258620689655172,0.03059541277993218,0.5159574468085106,0.5625,0.5333333333333333,0.5214285714285715,0.646551724137931,0.5559542151416693,0.044866220638414264,0.0,0.0233983983983983,0.449074074074074
lesbian,-0.0159574468085106,0.0125,0.0388888888888888,-0.0428571428571428,-0.0086206896551724,0.02376483364194292,0.5372340425531915,0.6125,0.55,0.4714285714285714,0.6637931034482759,0.5669911434860078,0.042290960649361165,0.0,-0.0085282651072124,0.4328703703703703
pansexual,-0.0106382978723404,-0.075,0.0277777777777777,0.15,-0.0517241379310344,0.0630280427162305,0.5,0.6166666666666667,0.55,0.5642857142857143,0.5689655172413793,0.5599835796387521,0.08155416972364873,0.0,-0.0354330708661417,0.4375
straight,-0.0053191489361702,-0.0125,-0.0111111111111111,-0.0071428571428571,0.0603448275862069,0.01928358895526906,0.5159574468085106,0.5375,0.5111111111111111,0.4785714285714286,0.5603448275862069,0.5206969628154514,0.01612389220789806,0.0,0.0111766809728183,0.4791666666666667
