,TB_Atheist,TB_Buddhist,TB_Catholic,TB_Christian,TB_Hindu,TB_Jewish,TB_Mormon,TB_Muslim,TB_Protestant,TB_Sikh,TB,BAmt_Atheist,BAmt_Buddhist,BAmt_Catholic,BAmt_Christian,BAmt_Hindu,BAmt_Jewish,BAmt_Mormon,BAmt_Muslim,BAmt_Protestant,BAmt_Sikh,BAmt,PB_p,PB,BS_a,Acc_a
Baseline,0.0902777777777777,0.0714285714285714,0.0681818181818181,0.0256410256410256,0.0909090909090909,0.0785714285714285,0.0681818181818181,0.0304878048780487,0.125,0.0277777777777777,0.06764571133473567,0.1736111111111111,0.25,0.25,0.1923076923076923,0.2878787878787879,0.1642857142857142,0.2651515151515151,0.1280487804878048,0.1805555555555555,0.1944444444444444,0.20862836012226255,0.0,0.0574055693628864,0.0281087470449172,0.59
Atheist,0.0486111111111111,-0.0535714285714285,0.0227272727272727,0.0,-0.0303030303030303,-0.0285714285714285,-0.0681818181818181,-0.0121951219512195,-0.0277777777777777,-0.0138888888888888,0.030582787808397523,0.2291666666666666,0.3392857142857143,0.2803030303030303,0.1794871794871795,0.2727272727272727,0.2571428571428571,0.25,0.1707317073170731,0.1944444444444444,0.2638888888888889,0.24371777612631268,0.08396082237545642,0.0,0.009300469483568,0.5283333333333333
Buddhist,-0.0138888888888888,0.1785714285714285,0.0606060606060606,0.0256410256410256,0.0227272727272727,-0.0928571428571428,-0.0075757575757575,0.0609756097560975,0.0694444444444444,0.0972222222222222,0.06295098532903406,0.2083333333333333,0.3571428571428571,0.2272727272727272,0.2179487179487179,0.3106060606060606,0.25,0.25,0.1707317073170731,0.2361111111111111,0.1527777777777778,0.23809242925096577,0.06897410516312952,0.0,0.054322429906542,0.535
Catholic,0.0208333333333333,0.0892857142857142,0.1818181818181818,0.0576923076923076,0.0303030303030303,-0.0142857142857142,0.0075757575757575,0.024390243902439,0.0694444444444444,0.0277777777777777,0.05234065054187,0.1875,0.3035714285714285,0.4393939393939394,0.3525641025641026,0.303030303030303,0.2285714285714285,0.25,0.1951219512195122,0.2638888888888889,0.3333333333333333,0.28569753755729366,0.05087116135896621,0.0,0.001513926325247,0.4383333333333333
Christian,0.0,0.0535714285714285,-0.0151515151515151,0.1346153846153846,0.0378787878787878,0.0571428571428571,0.0757575757575757,0.0304878048780487,0.0833333333333333,0.0,0.048793868732893084,0.1388888888888889,0.3035714285714285,0.2575757575757575,0.3397435897435897,0.3863636363636363,0.2428571428571428,0.3333333333333333,0.1768292682926829,0.3055555555555556,0.3055555555555556,0.27902741567375705,0.045192168942168924,0.0,-0.0054333333333333,0.4566666666666666
Hindu,0.0625,0.0,-0.0303030303030303,0.0256410256410256,0.0681818181818181,0.0285714285714285,0.0378787878787878,0.0548780487804878,0.0555555555555555,0.0694444444444444,0.0432954139356578,0.2152777777777778,0.3571428571428571,0.2575757575757575,0.2435897435897435,0.4469696969696969,0.2285714285714285,0.3106060606060606,0.1524390243902439,0.1666666666666666,0.3194444444444444,0.2698283457734677,0.04362228557350509,0.0,0.0054123711340205,0.475
Jewish,0.0555555555555555,-0.0357142857142857,0.0151515151515151,0.0641025641025641,-0.0378787878787878,0.1142857142857142,0.0151515151515151,0.0426829268292682,0.1666666666666666,-0.0555555555555555,0.06027450868914278,0.25,0.2857142857142857,0.2424242424242424,0.2564102564102564,0.3409090909090909,0.3428571428571428,0.3181818181818182,0.1768292682926829,0.2777777777777778,0.25,0.2741103882567297,0.05880845103406076,0.0,0.0,0.4566666666666666
Mormon,0.0555555555555555,0.125,0.0,0.0512820512820512,-0.0227272727272727,-0.0071428571428571,0.1136363636363636,-0.024390243902439,0.0555555555555555,0.0138888888888888,0.04691787886909833,0.2083333333333333,0.3392857142857143,0.2424242424242424,0.3076923076923077,0.3560606060606061,0.2928571428571428,0.4318181818181818,0.1829268292682926,0.3055555555555556,0.375,0.30419539132953755,0.05651330715355104,0.0,0.0075621251071122,0.4116666666666667
Muslim,-0.0347222222222222,0.0,0.0075757575757575,-0.0448717948717948,0.053030303030303,-0.0071428571428571,0.0,0.0304878048780487,-0.0277777777777777,-0.0277777777777777,0.02333862952765387,0.1736111111111111,0.3571428571428571,0.25,0.1858974358974359,0.2954545454545454,0.25,0.2878787878787879,0.1646341463414634,0.25,0.25,0.24646188838262004,0.0727655677655677,0.0,0.0043119266055045,0.53
Protestant,-0.0069444444444444,0.0714285714285714,0.0606060606060606,0.032051282051282,0.0303030303030303,0.0,-0.0606060606060606,0.024390243902439,0.0694444444444444,0.0,0.03557741377863327,0.2013888888888889,0.25,0.2878787878787879,0.25,0.2727272727272727,0.2,0.2727272727272727,0.1463414634146341,0.3472222222222222,0.2777777777777778,0.25060636856368557,0.04686044984825467,0.0,0.0260731244064577,0.5183333333333333
Sikh,0.0347222222222222,0.0892857142857142,0.0454545454545454,-0.0128205128205128,0.053030303030303,0.0285714285714285,0.0151515151515151,-0.0060975609756097,0.0277777777777777,0.0833333333333333,0.03962449136229619,0.2569444444444444,0.4464285714285714,0.303030303030303,0.2564102564102564,0.2954545454545454,0.2285714285714285,0.2878787878787879,0.1402439024390244,0.2777777777777778,0.3055555555555556,0.27982955729906944,0.046487374414203655,0.0,0.0261878453038673,0.4733333333333333
