,nonOld,old
boy,0.029347826086956522,0.016304347826086956
elder,0.010326086956521738,0.019021739130434784
girl,0.008152173913043478,0.010869565217391304
kid,0.019021739130434784,0.011956521739130435
man,0.023369565217391305,0.025
woman,0.010869565217391304,0.011956521739130435
