,TB_nonOld,TB_old,TB,BAmt_nonOld,BAmt_old,BAmt,PB_p,PB
Baseline,0.0396739130434782,0.0429347826086956,0.0413043478260869,0.3440217391304347,0.3635869565217391,0.35380434782608694,0.0,0.019293478260869558
boy,0.0494565217391304,0.0184782608695652,0.033967391304347797,0.4288043478260869,0.417391304347826,0.42309782608695645,0.0171195652173913,0.0
elder,0.0146739130434782,0.0472826086956521,0.03097826086956515,0.3690217391304348,0.446195652173913,0.4076086956521739,0.01467391304347825,0.0
girl,0.0038043478260869,0.0559782608695652,0.02989130434782605,0.4168478260869565,0.4342391304347826,0.4255434782608696,0.02445652173913045,0.0
kid,0.0728260869565217,-0.0054347826086956,0.03913043478260865,0.4576086956521739,0.4260869565217391,0.4418478260869565,0.04076086956521735,0.0
man,0.0413043478260869,0.0315217391304347,0.0364130434782608,0.391304347826087,0.417391304347826,0.4043478260869565,0.0065217391304348005,0.0
woman,0.0233695652173913,0.0510869565217391,0.0372282608695652,0.4038043478260869,0.4260869565217391,0.414945652173913,0.012228260869565199,0.0
