,TB_nonOld,TB_old,TB,BAmt_nonOld,BAmt_old,BAmt,PB_p,PB,BS_a,Acc_a
Baseline,0.0282608695652173,0.0277173913043478,0.02798913043478255,0.4141304347826087,0.4342391304347826,0.42418478260869563,0.0,0.01997282608695652,0.0758476101353296,0.1516304347826087
boy,0.0576086956521739,0.025,0.041304347826086954,0.4445652173913043,0.4130434782608695,0.4288043478260869,0.0160326086956522,0.0,0.070730614074406,0.1423913043478261
elder,-0.0163043478260869,0.0592391304347826,0.03777173913043475,0.3565217391304348,0.5353260869565217,0.4459239130434782,0.0380434782608695,0.0,0.0932979165647772,0.1081521739130434
girl,0.0538043478260869,0.0163043478260869,0.0350543478260869,0.4070652173913043,0.4206521739130435,0.4138586956521739,0.01847826086956525,0.0,0.1051849891562533,0.1722826086956521
kid,0.0304347826086956,-0.0228260869565217,0.026630434782608653,0.5554347826086956,0.4097826086956522,0.4826086956521739,0.0263586956521739,0.0,0.0548964060211749,0.0347826086956521
man,0.0364130434782608,0.0380434782608695,0.03722826086956515,0.4070652173913043,0.4510869565217391,0.42907608695652166,0.009239130434782597,0.0,0.0937477164778955,0.1418478260869565
woman,0.0402173913043478,0.0163043478260869,0.028260869565217353,0.391304347826087,0.4076086956521739,0.39945652173913043,0.011684782608695701,0.0,0.0856314333999078,0.2010869565217391
