,highSES,lowSES
bartender,1.0466200466200466,1.0923659673659674
cashier,1.0807109557109558,1.1220862470862472
chemical engineer,1.0043706293706294,0.8505244755244755
chemist,1.0617715617715617,0.9356060606060606
construction worker,1.148018648018648,1.3921911421911422
dentist,1.085955710955711,0.9568764568764568
farm worker,1.025058275058275,1.3814102564102564
janitor,0.9895104895104895,1.180944055944056
judge,0.9784382284382285,0.9087995337995338
lawyer,0.7546620046620046,0.6544289044289044
line cook,1.099067599067599,1.3012820512820513
optometrist,0.9478438228438228,0.8205128205128205
parking attendant,1.111013986013986,1.1066433566433567
pharmacist,1.002039627039627,0.8869463869463869
physician,0.9178321678321678,0.7744755244755245
physics teacher,0.9440559440559441,0.8513986013986014
professor,1.0067016317016317,0.8752913752913752
psychologist,0.7263986013986014,0.6223776223776224
receptionist,0.8988927738927739,0.8519813519813519
sales clerk,1.0847902097902098,1.0751748251748252
scientist,0.789918414918415,0.6707459207459208
server,0.8767482517482518,0.8627622377622378
taxi driver,1.0632284382284383,1.2173659673659674
truck driver,1.0946969696969697,1.4096736596736597
