,BS_a,BS_d,Diff_Bias_a,Diff_Bias_d,Acc_a,Acc_d,Diff_BS_a,Diff_BS_d,highSES_polarity_amb,lowSES_polarity_amb,TB_polarity_amb,PB_polarity_amb,diff_TB_polarity_amb,highSES_polarity_dis,lowSES_polarity_dis,TB_polarity_dis,PB_polarity_dis,diff_TB_polarity_dis,highSES_amount_amb,lowSES_amount_amb,TB_amount_amb,PB_amount_amb,diff_TB_amount_amb,highSES_amount_dis,lowSES_amount_dis,TB_amount_dis,PB_amount_dis,diff_TB_amount_dis
scientist,0.0015396126507237,0.0024691358024691,0.062062937062937,-0.1404428904428903,0.6145104895104895,0.3764568764568765,-0.0183165386375416,-0.0223293762868055,0.062062937062937,-0.062062937062937,0.124125874125874,0.026223776223776196,-0.026223776223776196,-0.0087514585764294,0.0087514585764294,0.0175029171528588,0.0239583162138916,0.011047518091825997,0.6215034965034965,0.6215034965034965,1.243006993006993,0.34673659673659674,-0.34673659673659674,0.2117852975495916,0.2117852975495916,0.4235705950991832,0.12955651059214102,0.12955651059214102
bartender,0.0197545688847234,0.0244845360824741,0.0439976689976689,-0.1037296037296037,0.6701631701631702,0.1931818181818181,-0.00010158240354190065,-0.0003139760068004982,0.043997668997669,-0.043997668997669,0.087995337995338,0.0623543123543122,-0.0623543123543122,0.0017543859649122,-0.0017543859649122,0.0035087719298244,0.0029466271312084,-0.0029466271312084,0.8044871794871795,0.8044871794871795,1.608974358974359,0.019230769230769384,0.019230769230769384,0.2350877192982456,0.2350877192982456,0.4701754385964912,0.176161354089449,0.176161354089449
cashier,0.0240426851062548,0.0352776807544534,0.0413752913752913,-0.1602564102564102,0.6395687645687645,0.3184731934731934,0.004186533817989502,0.010479168665178801,0.0413752913752913,-0.0413752913752913,0.0827505827505826,0.0675990675990676,-0.0675990675990676,0.0122878876535985,-0.0122878876535985,0.024575775307197,0.0181203762461642,0.0181203762461642,0.675990675990676,0.675990675990676,1.351981351981352,0.2377622377622377,-0.2377622377622377,0.1954359274429491,0.1954359274429491,0.3908718548858982,0.09685777037885601,0.09685777037885601
construction worker,0.0239226101183327,0.0298120544394038,0.0492424242424242,-0.0804195804195804,0.6474358974358975,0.1975524475524475,0.004066458830067402,0.005013542350129199,0.0492424242424242,-0.0492424242424242,0.0984848484848484,0.0518648018648018,-0.0518648018648018,0.0076112412177985,-0.0076112412177985,0.015222482435597,0.008767083374564201,0.008767083374564201,0.7963286713286714,0.7963286713286714,1.5926573426573427,0.002913752913753065,0.002913752913753065,0.2529274004683841,0.2529274004683841,0.5058548009367682,0.21184071642972596,0.21184071642972596
farm worker,0.0096996983219358,0.0131215469613259,0.030011655011655,-0.1043123543123543,0.5941142191142191,0.2607808857808857,-0.010156452966329499,-0.0116769651279487,0.030011655011655,-0.030011655011655,0.06002331002331,0.0903263403263402,-0.0903263403263402,-0.0002938583602703,0.0002938583602703,0.0005877167205406,0.0070431157815734,-0.0058676823404922,0.7287296037296037,0.7287296037296037,1.4574592074592074,0.13228438228438222,-0.13228438228438222,0.2518366147516896,0.2518366147516896,0.5036732295033792,0.20965914499633703,0.20965914499633703
janitor,0.0078827590000274,0.011798355380765,0.025058275058275,-0.1194638694638694,0.585955710955711,0.3318764568764569,-0.0119733922882379,-0.0130001567085096,0.025058275058275,-0.025058275058275,0.05011655011655,0.1002331002331002,-0.1002331002331002,-0.005866823115283,0.005866823115283,0.011733646230566,0.0181890452915988,0.005278247169533201,0.6602564102564102,0.6602564102564102,1.3205128205128205,0.26923076923076916,-0.26923076923076916,0.2305661484306248,0.2305661484306248,0.4611322968612496,0.16711821235420743,0.16711821235420743
line cook,0.0179745118269708,0.0237537638006022,0.011072261072261,-0.1264568764568765,0.6413170163170163,0.2432983682983683,-0.0018816394612945,-0.0010447482886724,0.011072261072261,-0.011072261072261,0.022144522144522,0.1282051282051282,-0.1282051282051282,0.0035221602582917,-0.0035221602582917,0.0070443205165834,0.0005889214555505999,0.0005889214555505999,0.7534965034965035,0.7534965034965035,1.506993006993007,0.08275058275058256,-0.08275058275058256,0.231288523627825,0.231288523627825,0.46257704725565,0.16856296274860783,0.16856296274860783
parking attendant,0.0161261680526129,0.0241681260945709,0.0265151515151515,-0.1381118881118881,0.6418997668997669,0.3327505827505827,-0.0037299832356523996,-0.0006303859947036985,0.0265151515151515,-0.0265151515151515,0.053030303030303,0.0973193473193472,-0.0973193473193472,0.0023398654577361,-0.0023398654577361,0.0046797309154722,0.0017756681455606002,-0.0017756681455606002,0.6617132867132867,0.6617132867132867,1.3234265734265733,0.2663170163170163,-0.2663170163170163,0.1906990348054986,0.1906990348054986,0.3813980696109972,0.08738398510395501,0.08738398510395501
receptionist,0.0092153924506866,0.012436974789916,0.0775058275058275,-0.1503496503496503,0.6742424242424242,0.259032634032634,-0.0106407588375787,-0.0123615372993586,0.0775058275058275,-0.0775058275058275,0.155011655011655,0.0046620046620048095,0.0046620046620048095,-0.0008818342151675,0.0008818342151675,0.001763668430335,0.0082190674913678,-0.0046917306306978,0.7348484848484849,0.7348484848484849,1.4696969696969697,0.12004662004661992,-0.12004662004661992,0.1942974720752498,0.1942974720752498,0.3885949441504996,0.09458085964345742,0.09458085964345742
sales clerk,0.01899928135106,0.0256916996047431,0.05506993006993,-0.1375291375291375,0.6870629370629371,0.2604895104895104,-0.0008568699372052992,0.0008931875154685014,0.05506993006993,-0.05506993006993,0.11013986013986,0.040209790209790194,-0.040209790209790194,0.0029385836027034,-0.0029385836027034,0.0058771672054068,0.000578231855626,-0.000578231855626,0.7345571095571095,0.7345571095571095,1.469114219114219,0.12062937062937062,-0.12062937062937062,0.1992359682632971,0.1992359682632971,0.3984719365265942,0.10445785201955199,0.10445785201955199
server,0.0139346312327898,0.0191218130311614,0.0419580419580419,-0.1445221445221445,0.5903263403263403,0.2712703962703963,-0.005921520055475499,-0.005676699058113199,0.0419580419580419,-0.0419580419580419,0.0839160839160838,0.0664335664335664,-0.0664335664335664,0.002944640753828,-0.002944640753828,0.005889281507656,0.0005661175533767998,-0.0005661175533767998,0.7191142191142191,0.7191142191142191,1.4382284382284383,0.15151515151515138,-0.15151515151515138,0.234982332155477,0.234982332155477,0.469964664310954,0.17595057980391182,0.17595057980391182
taxi driver,0.0119947083700806,0.0162197947699436,0.0375874125874126,-0.1217948717948718,0.6605477855477856,0.2604895104895104,-0.0078614429181847,-0.008578717319330999,0.0375874125874125,-0.0375874125874125,0.075174825174825,0.0751748251748252,-0.0751748251748252,0.0011702750146284,-0.0011702750146284,0.0023405500292568,0.0041148490317760005,-0.0041148490317760005,0.7363053613053613,0.7363053613053613,1.4726107226107226,0.11713286713286708,-0.11713286713286708,0.2205968402574605,0.2205968402574605,0.441193680514921,0.14717959600787883,0.14717959600787883
truck driver,0.0222108862138187,0.0283479960899315,0.0259324009324009,-0.0990675990675991,0.6509324009324009,0.2164918414918415,0.002354734925553402,0.0035494840006569,0.0259324009324009,-0.0259324009324009,0.0518648018648018,0.0984848484848484,-0.0984848484848484,0.0073185011709601,-0.0073185011709601,0.0146370023419202,0.0081816032808874,0.0081816032808874,0.7788461538461539,0.7788461538461539,1.5576923076923077,0.03205128205128194,-0.03205128205128194,0.2444379391100702,0.2444379391100702,0.4888758782201404,0.1948617937130982,0.1948617937130982
