,bisexual,gay,lesbian,pansexual,straight
bisexual,0.03297872340425528,-0.018333333333333302,0.01111111111111108,-0.0357142857142857,0.0103448275862069
gay,-0.01170212765957444,-0.01083333333333332,0.02999999999999996,-0.0157142857142857,0.01379310344827584
lesbian,-0.028723404255319097,-0.0008333333333333199,0.041111111111111084,-0.0171428571428571,0.0051724137931034395
pansexual,-0.0021276595744680812,-0.009166666666666639,0.006666666666666679,0.01428571428571428,-0.00517241379310344
straight,-0.02659574468085102,-0.0025,-0.0011111111111111196,-0.02285714285714284,0.07758620689655168
