,BS_d,BS_a,Diff_Bias_d,Diff_Bias_a,Acc_d,Acc_a,African_ambig,African American_ambig,Arab_ambig,Asian_ambig,Black_ambig,Caucasian_ambig,European_ambig,Hispanic_ambig,Jewish_ambig,Latino_ambig,Middle Eastern_ambig,Native American_ambig,Roma_ambig,South American_ambig,White_ambig,TB_ambig,PB_ambig,African_disambig,African American_disambig,Arab_disambig,Asian_disambig,Black_disambig,Caucasian_disambig,European_disambig,Hispanic_disambig,Jewish_disambig,Latino_disambig,Middle Eastern_disambig,Native American_disambig,Roma_disambig,South American_disambig,White_disambig,TB_disambig,PB_disambig
Baseline,0.0241725774665431,0.0086781577838153,0.0103488372093022,0.0241279069767441,0.6419186046511628,0.943779069767442,0.006,-0.0515384615384615,-0.010727969348659,0.0746124031007751,-0.0224537037037036,0.028125,0.108695652173913,-0.0256097560975609,0.1023809523809523,0.0141156462585033,-0.0803571428571428,-0.1049999999999999,0.019047619047619,-0.0058823529411764,0.0851063829787233,0.7396530424271901,0.0,0.028,-0.0107692307692307,0.0084291187739463,0.0093023255813952,-0.0128472222222221,-0.0125,0.0391304347826086,0.0012195121951219,0.0333333333333333,0.0059523809523809,-0.0035714285714285,-0.0316666666666666,-0.0166666666666666,0.0,0.0159574468085106,0.2293457673235113,0.0
African,0.0143088833579675,0.0067566305075347,-0.0041860465116279,0.0034302325581395,0.4163953488372093,0.8733720930232558,0.046,0.1246153846153845,0.0005747126436781,0.0364341085271317,0.0770833333333332,0.03125,0.0391304347826086,-0.1024390243902438,0.0,0.0178571428571428,-0.0910714285714285,-0.0266666666666666,-0.0071428571428571,0.0323529411764706,0.0555851063829787,0.6882031410899241,0.8038084603719291,0.058,0.0069230769230769,-0.0059386973180076,0.0091085271317829,0.0069444444444444,-0.003125,0.0478260869565217,0.0073170731707317,0.0452380952380952,0.0064625850340135,-0.0410714285714285,-0.0149999999999999,-0.0333333333333333,-0.0205882352941176,0.0212765957446808,0.328153179160234,0.2153694856000789
African American,0.021464600951445,0.0104621286263451,-0.0141860465116278,0.0018023255813953,0.4923255813953487,0.8612790697674418,0.256,0.0492307692307692,0.0273946360153256,0.0401162790697674,0.0458333333333333,-0.040625,-0.0021739130434782,0.0036585365853658,-0.0095238095238095,0.0193877551020407,-0.0999999999999999,-0.015,0.0547619047619047,0.0117647058823529,0.0175531914893616,0.6930238340375088,1.0482971190199109,0.034,0.0061538461538461,0.0053639846743294,0.0102713178294573,-0.002662037037037,0.04375,0.0304347826086956,0.0097560975609755,0.0071428571428571,0.0051020408163265,-0.0178571428571428,-0.0166666666666666,0.0047619047619047,-0.0117647058823529,0.0119680851063829,0.21765546909797437,0.20413379562100423
Arab,0.0338859103083211,0.0181154030924845,-0.016860465116279,0.0111627906976743,0.4812209302325581,0.8568023255813954,0.02,-0.0392307692307691,0.1314176245210727,0.0135658914728682,-0.0282407407407406,0.009375,-0.0043478260869565,-0.048780487804878,0.1261904761904761,0.0474489795918367,0.0499999999999999,-0.0366666666666666,0.0023809523809523,0.038235294117647,0.0212765957446808,0.6171573045495444,0.7706984791034205,0.034,-0.0284615384615384,0.0126436781609195,0.0166666666666666,-0.0233796296296295,-0.015625,0.0739130434782608,0.0024390243902439,0.038095238095238,0.0147959183673468,0.0142857142857142,-0.005,-0.0095238095238095,0.0088235294117647,0.0249999999999999,0.32265279047113177,0.1680689279095249
Asian,0.0290721750231363,0.0153038969071418,-0.0320930232558139,0.0294767441860464,0.4815697674418605,0.8645348837209303,0.064,-0.0969230769230768,0.050383141762452,0.0796511627906976,-0.0228009259259259,0.09375,0.0434782608695652,0.0207317073170731,0.0785714285714285,0.0488095238095237,-0.0160714285714285,0.0183333333333333,-0.0238095238095238,0.0235294117647058,0.0843085106382978,0.7651514360870321,0.6662547920098951,-0.0079999999999999,-0.0176923076923076,0.0084291187739463,0.0125968992248061,-0.0153935185185184,0.015625,0.0521739130434782,0.0036585365853658,0.0357142857142857,0.0083333333333332,-0.0267857142857142,-0.005,0.0023809523809523,2.0122792321330962e-17,0.0175531914893616,0.22933677104206932,0.16765767038522442
Black,0.0170379745281042,0.0100024556851545,0.0288372093023255,0.0252906976744185,0.3966279069767442,0.871860465116279,-0.0279999999999999,0.0592307692307692,-0.035823754789272,0.0585271317829457,-0.0124999999999999,0.053125,0.0304347826086956,-0.0134146341463414,-0.0023809523809523,-0.0008503401360543,-0.0999999999999999,-0.0483333333333333,0.019047619047619,0.0411764705882352,0.0691489361702127,0.5719937242144304,0.5704136680517218,0.024,0.0207692307692307,0.0065134099616857,0.0162790697674418,-0.0013888888888888,0.003125,0.0413043478260869,0.0048780487804878,0.0047619047619047,0.0103741496598639,-0.0142857142857142,-0.0049999999999999,-0.0095238095238095,-0.038235294117647,0.0183510638297871,0.218789932172548,0.19549261544059066
Caucasian,0.0322321673923652,0.0172806183976221,-0.0336046511627906,0.0454651162790697,0.4723255813953488,0.8568023255813954,-0.018,-0.1099999999999999,-0.0413793103448275,0.1005813953488371,-0.026736111111111,0.459375,0.3065217391304348,-0.0134146341463414,0.1380952380952381,0.0375850340136054,-0.0535714285714285,-0.0533333333333333,-0.0142857142857142,0.0676470588235293,0.1837765957446808,1.6243025929490817,1.127804500306683,0.0139999999999999,-0.0361538461538461,-0.0007662835249042,0.0011627906976744,-0.0207175925925925,0.053125,0.1065217391304347,0.0207317073170731,0.0428571428571428,-0.0052721088435373,-0.0142857142857142,0.0,-0.0166666666666666,0.0029411764705882,0.0175531914893616,0.3527549600295356,0.28478459525945377
European,0.029355293211083,0.0149629703082114,-0.0452325581395348,0.0344186046511627,0.4991279069767441,0.8715697674418605,0.052,-0.0538461538461537,0.0235632183908045,0.0717054263565891,-0.0489583333333333,0.18125,0.3717391304347825,-0.0243902439024389,0.1499999999999999,0.0491496598639455,-0.0428571428571428,-0.0116666666666666,0.0761904761904761,0.0794117647058823,0.1374999999999999,1.3742282165482151,0.9377154632459783,0.048,-0.0315384615384614,-0.0009578544061302,0.0011627906976744,-0.0231481481481481,0.028125,0.1021739130434782,-0.0085365853658536,0.0809523809523809,-0.0011904761904762,-0.0303571428571427,0.0066666666666666,-0.0095238095238095,-0.0176470588235294,0.0191489361702127,0.4091292243839639,0.3298835982898399
Hispanic,0.0215411840397187,0.0132376450101404,-0.0077906976744186,0.0051744186046511,0.4033720930232558,0.8819186046511629,-0.002,-0.0307692307692307,-0.0007662835249042,0.0306201550387596,-0.0210648148148148,-0.00625,-0.0347826086956521,0.1914634146341463,0.0476190476190476,0.1477891156462584,-0.0410714285714285,-0.0316666666666666,-0.0261904761904761,0.0794117647058822,0.0585106382978722,0.7499756451751393,0.9372208644798744,0.008,-0.0153846153846153,0.0028735632183908,0.0062015503875969,-0.011574074074074,-0.025,0.0326086956521739,0.0585365853658536,-0.0142857142857142,0.0132653061224489,-0.0035714285714285,0.0049999999999999,-0.0166666666666666,0.0235294117647058,0.0199468085106382,0.2564444200043066,0.2300010887366683
Jewish,0.0221428728429687,0.0104594019468239,-0.0559302325581394,0.0099999999999999,0.5588953488372093,0.8394767441860465,-0.004,-0.0492307692307691,0.0222222222222222,0.0614341085271317,0.0030092592592592,0.06875,0.0978260869565217,-0.0304878048780487,0.3523809523809523,0.03656462585034,0.0464285714285714,-0.0049999999999999,0.0357142857142857,0.0088235294117647,0.0805851063829787,0.9024573222428453,0.6754002749059623,-0.026,-0.0169230769230769,-0.0021072796934865,0.0067829457364341,-0.0108796296296295,0.040625,0.0413043478260869,-0.0012195121951219,0.0857142857142856,-0.001360544217687,0.0053571428571428,0.0033333333333333,-0.0642857142857142,0.0117647058823529,0.015159574468085,0.33281709276243665,0.2967192293139723
