,BS_a,BS_d,Diff_Bias_a,Diff_Bias_d,Acc_a,Acc_d,Diff_BS_a,Diff_BS_d,African_polarity_amb,African American_polarity_amb,Black_polarity_amb,Caucasian_polarity_amb,White_polarity_amb,European_polarity_amb,Roma_polarity_amb,Native American_polarity_amb,South American_polarity_amb,Hispanic_polarity_amb,Latino_polarity_amb,Jewish_polarity_amb,Arab_polarity_amb,Middle Eastern_polarity_amb,Asian_polarity_amb,TB_polarity_amb,PB_polarity_amb,diff_TB_polarity_amb,African_polarity_dis,African American_polarity_dis,Black_polarity_dis,Caucasian_polarity_dis,White_polarity_dis,European_polarity_dis,Roma_polarity_dis,Native American_polarity_dis,South American_polarity_dis,Hispanic_polarity_dis,Latino_polarity_dis,Jewish_polarity_dis,Arab_polarity_dis,Middle Eastern_polarity_dis,Asian_polarity_dis,TB_polarity_dis,PB_polarity_dis,diff_TB_polarity_dis,African_amount_amb,African American_amount_amb,Black_amount_amb,Caucasian_amount_amb,White_amount_amb,European_amount_amb,Roma_amount_amb,Native American_amount_amb,South American_amount_amb,Hispanic_amount_amb,Latino_amount_amb,Jewish_amount_amb,Arab_amount_amb,Middle Eastern_amount_amb,Asian_amount_amb,TB_amount_amb,PB_amount_amb,diff_TB_amount_amb,African_amount_dis,African American_amount_dis,Black_amount_dis,Caucasian_amount_dis,White_amount_dis,European_amount_dis,Roma_amount_dis,Native American_amount_dis,South American_amount_dis,Hispanic_amount_dis,Latino_amount_dis,Jewish_amount_dis,Arab_amount_dis,Middle Eastern_amount_dis,Asian_amount_dis,TB_amount_dis,PB_amount_dis,diff_TB_amount_dis
Baseline,0.0165864540153164,0.0211480362537763,0.0113372093023255,-0.019767441860465,0.4546511627906976,0.2156976744186046,0.0,0.0,0.05,0.0461538461538461,0.0399305555555555,0.0,0.0279255319148936,0.0108695652173913,0.0119047619047619,-0.0333333333333333,0.0735294117647058,0.0365853658536585,0.0246598639455782,0.0833333333333333,0.0708812260536398,0.0267857142857142,0.0426356589147286,0.5785281682311402,0.0,0.0,0.0238095238095238,-0.036697247706422,0.0018303843807199,0.0566037735849056,0.0251396648044692,0.050632911392405,0.0895522388059701,0.058252427184466,-0.0461538461538461,0.0217391304347826,0.016378525932666,0.0,0.0142131979695431,0.0736842105263157,0.0356052899287894,0.5502923726148246,0.0,0.0,0.25,0.2076923076923077,0.3825231481481481,0.21875,0.3390957446808511,0.2934782608695652,0.2023809523809523,0.15,0.25,0.1585365853658536,0.3545918367346938,0.25,0.3869731800766283,0.1875,0.3585271317829457,3.9900491477319457,0.0,0.0,0.1428571428571428,0.1743119266055046,0.1738865161683953,0.0943396226415094,0.1536312849162011,0.1772151898734177,0.2388059701492537,0.1553398058252427,0.1076923076923077,0.1376811594202898,0.1601455868971792,0.1764705882352941,0.1908629441624365,0.1789473684210526,0.1719226856561546,2.434110099521382,0.0,0.0
African,0.0242624369684654,0.0323624595469256,-0.0087209302325581,0.0372093023255813,0.4040697674418604,0.2502906976744186,0.0076759829531489986,0.011214423293149298,0.0,0.0307692307692307,0.021412037037037,-0.0625,-0.0079787234042553,0.0434782608695652,0.0833333333333333,-0.0083333333333333,0.0441176470588235,0.0,0.0025510204081632,-0.0357142857142857,0.0105363984674329,0.0267857142857142,-0.001937984496124,0.3794479691772982,0.6234167204446623,-0.19908019905384194,0.0,0.0043290043290043,0.0261845386533665,0.0754716981132075,0.0286944045911047,0.0246913580246913,0.081081081081081,0.0396039603960396,0.0,0.056338028169014,0.0499537465309898,0.0389610389610389,0.0114345114345114,0.0113636363636363,0.0123076923076923,0.4604146989553777,0.40635963407981174,-0.08987767365944688,0.26,0.2923076923076923,0.3443287037037037,0.25,0.3085106382978723,0.2391304347826087,0.2738095238095238,0.2083333333333333,0.3088235294117647,0.2195121951219512,0.3784013605442177,0.2976190476190476,0.328544061302682,0.2410714285714285,0.3255813953488372,4.2759733441546635,0.7149286606675862,0.2859241964227177,0.1818181818181818,0.1774891774891775,0.183291770573566,0.1886792452830188,0.1635581061692969,0.1234567901234567,0.1351351351351351,0.099009900990099,0.1333333333333333,0.1267605633802817,0.1924144310823311,0.1688311688311688,0.1735966735966736,0.1931818181818181,0.1497435897435897,2.390299885731128,0.49971882925311534,-0.04381021379025363
African American,-0.019153305817922,-0.0246492226014409,-0.0110465116279069,0.0075581395348837,0.4491279069767442,0.2229651162790697,-0.035739759833238405,-0.045797258855217196,-0.01,0.0153846153846153,0.0416666666666666,0.03125,0.0013297872340425,0.0760869565217391,-0.0357142857142857,0.0083333333333333,0.0441176470588235,0.0365853658536585,0.0187074829931972,-0.0119047619047619,0.0363984674329501,-0.0089285714285714,0.005813953488372,0.38222189501501713,0.5424751828089454,-0.19630627321612304,-0.0104166666666666,-0.0088495575221238,0.0211225105612552,0.0,-0.0013661202185792,0.0119047619047619,0.1267605633802817,0.0380952380952381,-0.0925925925925925,0.0431654676258992,0.0292035398230088,0.08,0.0,0.0329670329670329,0.0,0.49644405135743985,0.5117949915779816,-0.0538483212573847,0.33,0.2615384615384615,0.3923611111111111,0.375,0.3284574468085106,0.2282608695652173,0.3452380952380952,0.2416666666666666,0.2794117647058823,0.2073170731707317,0.4047619047619047,0.25,0.3563218390804598,0.2946428571428571,0.3217054263565891,4.6166835161464865,0.9132918396129681,0.6266343684145408,0.1979166666666666,0.1946902654867256,0.1707905853952927,0.1111111111111111,0.1489071038251366,0.1785714285714285,0.1830985915492957,0.1333333333333333,0.2037037037037037,0.1007194244604316,0.1743362831858407,0.1866666666666666,0.1894093686354379,0.1648351648351648,0.1532258064516129,2.4913155038778485,0.37072211682310807,0.057205404356466705
Black,-0.0182954588565575,-0.0244698205546493,-0.0078488372093023,0.0459302325581395,0.4008720930232558,0.2523255813953488,-0.0348819128718739,-0.0456178568084256,0.06,0.0,0.021412037037037,-0.046875,0.0053191489361702,0.0,-0.0476190476190476,-0.0166666666666666,0.0735294117647058,0.0060975609756097,0.0034013605442176,-0.0238095238095238,0.0114942528735632,0.0089285714285714,0.0193798449612403,0.34453242661635314,0.4906028844719297,-0.23399574161478703,0.0465116279069767,0.004524886877828,0.0247985120892746,0.0,0.0014619883040935,0.0259740259740259,0.0606060606060606,0.0188679245283018,-0.0166666666666666,0.0,0.021043000914913,0.0294117647058823,0.0166147455867082,0.0510204081632653,0.0122950819672131,0.3297966942912096,0.3938414903018748,-0.22049567832361494,0.2,0.2615384615384615,0.339699074074074,0.203125,0.3191489361702128,0.2391304347826087,0.2619047619047619,0.25,0.3088235294117647,0.1646341463414634,0.369047619047619,0.2142857142857142,0.3218390804597701,0.2410714285714285,0.3081395348837209,4.0023877214715995,0.6802979555437292,0.012338573739653746,0.1162790697674418,0.1855203619909502,0.1723496590204587,0.1538461538461538,0.1476608187134503,0.1558441558441558,0.1515151515151515,0.1509433962264151,0.15,0.150375939849624,0.1875571820677035,0.1764705882352941,0.1889927310488058,0.173469387755102,0.1557377049180328,2.4165623007987396,0.32380586771792397,-0.017547798722642227
Caucasian,0.0027954313735009,0.0037578288100208,0.0008720930232558,0.0430232558139535,0.3732558139534884,0.2561046511627907,-0.013791022641815502,-0.017390207443755502,-0.02,0.0038461538461538,0.0109953703703703,0.0,0.0252659574468085,0.0,0.0,-0.0083333333333333,-0.088235294117647,-0.0365853658536585,0.0280612244897959,0.0119047619047619,0.0028735632183908,-0.0625,0.0222868217054263,0.32088784628634626,0.6790843629758402,-0.2576403219447939,-0.0116279069767441,-0.0142857142857142,0.0240963855421686,0.0,0.0467153284671532,-0.0617283950617283,0.0571428571428571,0.0297029702970297,-0.0172413793103448,0.0227272727272727,0.0151085930122757,0.0136986301369863,0.0297239915074309,0.0319148936170212,0.0072765072765072,0.38299082536123397,0.4620926129135292,-0.1673015472535906,0.2,0.25,0.3107638888888889,0.28125,0.3444148936170212,0.1956521739130435,0.2142857142857142,0.1916666666666666,0.2941176470588235,0.1707317073170731,0.3375850340136054,0.2738095238095238,0.3227969348659004,0.2410714285714285,0.3071705426356589,3.935316155643348,0.6495169745011702,-0.05473299208859794,0.1976744186046511,0.1857142857142857,0.1661382371591629,0.1538461538461538,0.1576642335766423,0.1604938271604938,0.2,0.1089108910891089,0.1896551724137931,0.1439393939393939,0.2096317280453258,0.1780821917808219,0.1953290870488322,0.1595744680851064,0.1819126819126819,2.5885667703764534,0.412611524742052,0.15445667085507164
White,-0.0146691963782544,-0.0193861066235864,-0.0075581395348837,0.025,0.4078488372093023,0.2433139534883721,-0.031255650393570804,-0.040534142877362705,0.03,-0.0038461538461538,0.0300925925925925,0.109375,0.0093085106382978,0.0108695652173913,-0.0119047619047619,0.0166666666666666,-0.0441176470588235,0.0182926829268292,0.0170068027210884,0.0,0.0172413793103448,0.0,0.003875968992248,0.32259773187519786,0.6277508953087538,-0.2559304363559423,0.048780487804878,0.0232558139534883,0.0152187698161065,0.109090909090909,0.0284090909090909,0.04,0.1384615384615384,0.0,-0.0363636363636363,-0.0214285714285714,0.0276497695852534,0.0289855072463768,0.0220356768100734,0.0219780219780219,0.0104058272632674,0.5720636207112118,0.4498064035405896,0.021771248096387197,0.25,0.2576923076923076,0.3263888888888889,0.234375,0.3071808510638298,0.2717391304347826,0.2976190476190476,0.2166666666666666,0.2794117647058823,0.2134146341463414,0.3673469387755102,0.3095238095238095,0.3295019157088122,0.2321428571428571,0.3391472868217054,4.232151099190442,0.6153807367387343,0.2421019514584959,0.1951219512195122,0.1813953488372093,0.1699429296131896,0.1818181818181818,0.1619318181818181,0.2266666666666666,0.2,0.1714285714285714,0.1454545454545454,0.1357142857142857,0.1714285714285714,0.2028985507246377,0.1899265477439664,0.1978021978021978,0.1581685744016649,2.689698741035018,0.37440251768048305,0.25558864151363636
European,-0.0034834134972975,-0.0042643923240938,-0.0046511627906976,0.0162790697674419,0.5046511627906977,0.1831395348837209,-0.0200698675126139,-0.0254124285778701,0.05,0.0346153846153846,0.0457175925925925,0.0625,0.0199468085106383,0.0978260869565217,0.0833333333333333,0.0083333333333333,-0.0294117647058823,-0.0304878048780487,0.0306122448979591,0.0119047619047619,0.0411877394636015,0.0178571428571428,0.0174418604651162,0.5811758585143162,0.599067137865592,0.0026476902831760185,-0.0109890109890109,-0.0262008733624454,0.0129870129870129,0.0701754385964912,0.0326086956521739,0.0,0.1447368421052631,-0.01,-0.0483870967741935,0.0344827586206896,0.0225890529973935,-0.0384615384615384,0.0168150346191889,0.0108695652173913,0.0276953511374876,0.5069982715202802,0.38453754056665096,-0.043294101094544346,0.23,0.2576923076923076,0.402199074074074,0.28125,0.3896276595744681,0.358695652173913,0.3214285714285714,0.1916666666666666,0.2647058823529412,0.2012195121951219,0.4370748299319728,0.2261904761904762,0.4434865900383142,0.3035714285714285,0.3546511627906977,4.663459813680953,0.768781651552551,0.6734106659490076,0.1648351648351648,0.1834061135371179,0.1617473435655254,0.2105263157894736,0.154891304347826,0.1647058823529411,0.1710526315789473,0.13,0.1774193548387097,0.1310344827586207,0.1702867072111207,0.0897435897435897,0.1810089020771513,0.1413043478260869,0.1503461918892186,2.382308332351494,0.5085759450690239,-0.051801767169887825
Roma,0.0045691228422656,0.005759539236861,0.0002906976744185,0.0151162790697674,0.4813953488372093,0.2066860465116279,-0.012017331173050802,-0.0153884970169153,-0.04,0.0269230769230769,0.0109953703703703,-0.015625,0.0279255319148936,0.0217391304347826,0.0119047619047619,0.025,-0.0147058823529411,0.0365853658536585,0.0306122448979591,-0.0119047619047619,0.082375478927203,0.0089285714285714,0.0096899224806201,0.3749150993936004,0.47471675543961644,-0.20361306883753977,0.0309278350515463,0.0040816326530612,0.0140268848626534,0.0344827586206896,0.0296096904441453,-0.0109890109890109,0.1923076923076923,0.0454545454545454,-0.0147058823529411,0.0063291139240506,0.0189491817398794,0.0,0.0216322517207472,0.0384615384615384,0.0088669950738916,0.4708250136563927,0.38266864709011955,-0.07946735895843188,0.26,0.2807692307692307,0.4079861111111111,0.328125,0.3896276595744681,0.3043478260869565,0.3452380952380952,0.2583333333333333,0.3088235294117647,0.2195121951219512,0.4081632653061224,0.2261904761904762,0.4444444444444444,0.3303571428571428,0.3604651162790697,4.872383425724166,0.9299533256112682,0.8823342779922205,0.134020618556701,0.1346938775510204,0.1741671537112799,0.1724137931034483,0.1480484522207268,0.1648351648351648,0.2692307692307692,0.1545454545454545,0.1617647058823529,0.1075949367088607,0.1757105943152454,0.125,0.1769911504424778,0.1346153846153846,0.1665024630541872,2.400134518773074,0.390809606137209,-0.033975580748307976
Native American,-0.0025211762318987,-0.0032715376226826,-0.0095930232558139,0.027906976744186,0.4854651162790697,0.229360465116279,-0.019107630247215103,-0.024419573876458902,0.0,-0.0038461538461538,0.0289351851851851,0.0,-0.0039893617021276,0.0217391304347826,-0.0119047619047619,0.0333333333333333,0.0441176470588235,-0.048780487804878,0.0144557823129251,0.0357142857142857,0.0191570881226053,0.0,0.0067829457364341,0.272756163156296,0.531219332692136,-0.30577200507484414,0.0208333333333333,-0.0165289256198347,0.0183323477232406,0.0508474576271186,0.0269179004037685,-0.0238095238095238,0.1111111111111111,0.0341880341880341,-0.032258064516129,0.0132450331125827,0.0207972270363951,0.0253164556962025,0.0206084396467124,0.0099009900990099,0.0058651026392961,0.4305599465622924,0.3192904131197035,-0.11973242605253215,0.3,0.2807692307692307,0.3958333333333333,0.28125,0.386968085106383,0.2826086956521739,0.3214285714285714,0.2833333333333333,0.3382352941176471,0.2682926829268293,0.4175170068027211,0.25,0.3754789272030651,0.3214285714285714,0.3517441860465116,4.85488791814837,0.9231322980712026,0.8648387704164247,0.1458333333333333,0.140495867768595,0.1626256652868125,0.1525423728813559,0.1641991924629879,0.119047619047619,0.1604938271604938,0.188034188034188,0.1612903225806451,0.119205298013245,0.1854419410745234,0.1265822784810126,0.1658488714425907,0.1287128712871287,0.1446725317693059,2.2650261806238365,0.5357551179724463,-0.16908391889754526
South American,0.0077851605758582,0.0095238095238094,-0.0276162790697674,0.0441860465116278,0.4988372093023255,0.1825581395348837,-0.0088012934394582,-0.0116242267299669,0.0,0.0192307692307692,0.0289351851851851,0.0,-0.0186170212765957,-0.0434782608695652,-0.0476190476190476,0.0,0.0294117647058823,-0.0060975609756097,0.0357142857142857,-0.0119047619047619,0.0469348659003831,0.0178571428571428,0.0222868217054263,0.3280874879446546,0.5279828291150607,-0.2504406802864856,0.0,-0.012396694214876,0.0200826934435912,-0.0677966101694915,0.029810298102981,0.0229885057471264,0.1038961038961039,0.0285714285714285,0.0153846153846153,0.0268456375838926,0.0337078651685393,0.05,0.0283757338551859,-0.0204081632653061,0.0198216055500495,0.4800859549531872,0.5251155747447491,-0.07020641766163738,0.22,0.3038461538461538,0.4074074074074074,0.3125,0.3617021276595745,0.2826086956521739,0.2619047619047619,0.2833333333333333,0.4117647058823529,0.2012195121951219,0.4863945578231292,0.2738095238095238,0.4319923371647509,0.3571428571428571,0.376937984496124,4.972563958317264,1.0642539410201015,0.9825148105853181,0.1505376344086021,0.152892561983471,0.1653868871825162,0.2033898305084746,0.1517615176151761,0.1379310344827586,0.1558441558441558,0.1238095238095238,0.2307692307692307,0.174496644295302,0.1840968020743301,0.125,0.1771037181996086,0.1428571428571428,0.1665014866204162,2.4423781706507084,0.5928805739656944,0.008268071129326593
