,BS_a,BS_d,Diff_Bias_a,Diff_Bias_d,Acc_a,Acc_d,Diff_BS_a,Diff_BS_d,nonOld_polarity_amb,old_polarity_amb,TB_polarity_amb,PB_polarity_amb,diff_TB_polarity_amb,nonOld_amount_amb,old_amount_amb,TB_amount_amb,PB_amount_amb,diff_TB_amount_amb,nonOld_polarity_dis,old_polarity_dis,TB_polarity_dis,PB_polarity_dis,diff_TB_polarity_dis,nonOld_amount_dis,old_amount_dis,TB_amount_dis,PB_amount_dis,diff_TB_amount_dis
Baseline,0.0010195290063182,0.0132107983917288,0.075,-0.0108695652173912,0.9402173913043478,0.9228260869565216,0.0,0.0,0.0478260869565217,-0.0434782608695652,0.0913043478260869,0.0,0.0,0.0956521739130434,0.1358695652173913,0.2315217391304347,0.0,0.0,-0.0016304347826086,0.0032608695652173,0.0048913043478259,0.0,0.0,0.0092391304347826,0.008695652173913,0.0179347826086956,0.0,0.0
boy,0.0022934598690502,0.0163564579808235,0.1326086956521739,-0.0152173913043478,0.9608695652173912,0.8597826086956522,0.0012739308627320001,0.0031456595890947004,0.0945652173913043,-0.058695652173913,0.1532608695652173,0.0619565217391304,0.06195652173913041,0.1847826086956521,0.2358695652173913,0.42065217391304344,0.18913043478260871,0.18913043478260874,0.0016304347826086,0.0,0.0016304347826086,0.0065217391304345,-0.0032608695652173,0.0038043478260869,0.0043478260869565,0.0081521739130434,0.0097826086956522,-0.0097826086956522
girl,0.0012297818667457,0.0102389078498292,0.1135869565217391,-0.0108695652173912,0.9521739130434784,0.8798913043478261,0.00021025286042750005,-0.0029718905418995994,0.0641304347826087,-0.0320652173913043,0.096195652173913,0.027717391304347902,0.0048913043478261,0.1543478260869565,0.2059782608695652,0.3603260869565217,0.128804347826087,0.128804347826087,0.0005434782608695,0.0005434782608695,0.001086956521739,0.0048913043478259,-0.0038043478260869,0.004891304347826,0.004891304347826,0.009782608695652,0.008152173913043601,-0.008152173913043601
kid,0.0026108269394714,0.0196078431372548,0.1244565217391304,-0.0271739130434782,0.9668478260869564,0.8668478260869565,0.0015912979331532,0.006397044745526001,0.0793478260869565,-0.046195652173913,0.12554347826086948,0.03423913043478259,0.03423913043478258,0.175,0.2244565217391304,0.3994565217391304,0.16793478260869568,0.16793478260869568,0.0021739130434782,-0.0010869565217391,0.0032608695652173005,0.0081521739130432,-0.0016304347826085995,0.0054347826086956,0.0043478260869565,0.0097826086956521,0.0081521739130435,-0.0081521739130435
man,0.000667701863354,0.0057142857142857,0.1125,-0.017391304347826,0.9478260869565216,0.8831521739130435,-0.0003518271429642,-0.007496512677443099,0.0510869565217391,-0.0222826086956521,0.0733695652173912,0.024456521739130502,-0.0179347826086957,0.1456521739130434,0.2048913043478261,0.3505434782608695,0.11902173913043479,0.11902173913043482,-0.0005434782608695,0.0027173913043478,0.0032608695652173,0.0016304347826086,-0.0016304347826086,0.004891304347826,0.004891304347826,0.009782608695652,0.008152173913043601,-0.008152173913043601
woman,0.0014827810104138,0.0143595634692705,0.0956521739130434,-0.0206521739130435,0.9429347826086956,0.8967391304347826,0.0004632520040956001,0.0011487650775417,0.0478260869565217,-0.0206521739130434,0.0684782608695651,0.0228260869565218,-0.0228260869565218,0.1293478260869565,0.1804347826086956,0.3097826086956521,0.07826086956521741,0.07826086956521741,0.0005434782608695,0.0005434782608695,0.001086956521739,0.0048913043478259,-0.0038043478260869,0.004891304347826,0.004891304347826,0.009782608695652,0.008152173913043601,-0.008152173913043601
elder,0.0007650573793034,0.0051753881541114,0.1380434782608695,-0.0130434782608696,0.942391304347826,0.8521739130434782,-0.00025447162701480004,-0.0080354102376174,0.0766304347826087,-0.0407608695652173,0.11739130434782599,0.0315217391304349,0.02608695652173909,0.1875,0.2559782608695652,0.4434782608695652,0.21195652173913052,0.21195652173913052,0.0021739130434782,-0.0027173913043478,0.004891304347826,0.009782608695651899,9.974659986866641e-17,0.0032608695652173,0.004891304347826,0.0081521739130433,0.009782608695652301,-0.009782608695652301
