,TB_Atheist,TB_Buddhist,TB_Catholic,TB_Christian,TB_Hindu,TB_Jewish,TB_Mormon,TB_Muslim,TB_Protestant,TB_Sikh,TB,BAmt_Atheist,BAmt_Buddhist,BAmt_Catholic,BAmt_Christian,BAmt_Hindu,BAmt_Jewish,BAmt_Mormon,BAmt_Muslim,BAmt_Protestant,BAmt_Sikh,BAmt,PB_p,PB,BS_d,Acc_d
Baseline,0.0069444444444444,0.0,0.0,0.0,-0.053030303030303,0.0071428571428571,0.0,0.0060975609756097,0.0138888888888888,0.0,0.0087104054482103,0.0069444444444444,0.0,0.0,0.0,0.053030303030303,0.0071428571428571,0.0,0.0060975609756097,0.0138888888888888,0.0,0.0087104054482103,0.0,0.0014224386724386688,0.0595482546201231,0.9433333333333334
Atheist,0.0069444444444444,0.0,0.0,0.0,-0.0454545454545454,0.0071428571428571,0.0,0.0060975609756097,0.0138888888888888,0.0,0.00795282969063454,0.0069444444444444,0.0,0.0,0.0,0.0454545454545454,0.0071428571428571,0.0,0.0060975609756097,0.0138888888888888,0.0,0.00795282969063454,0.0007575757575757596,0.0,0.0546318289786222,0.94
Buddhist,0.0069444444444444,0.0,0.0,0.0,-0.053030303030303,0.0071428571428571,0.0,0.0060975609756097,0.0138888888888888,0.0,0.0087104054482103,0.0069444444444444,0.0,0.0,0.0,0.053030303030303,0.0071428571428571,0.0,0.0060975609756097,0.0138888888888888,0.0,0.0087104054482103,0.0,0.0,0.0649350649350648,0.945
Catholic,0.0069444444444444,0.0,0.0075757575757575,0.0,-0.0454545454545454,0.0071428571428571,0.0,0.0060975609756097,0.0138888888888888,0.0,0.00871040544821029,0.0069444444444444,0.0,0.0075757575757575,0.0,0.0454545454545454,0.0071428571428571,0.0,0.0060975609756097,0.0138888888888888,0.0,0.00871040544821029,0.0015151515151515097,0.0,0.0648148148148148,0.9333333333333332
Christian,0.0069444444444444,0.0,0.0075757575757575,0.0,-0.0454545454545454,0.0071428571428571,0.0,0.0060975609756097,0.0138888888888888,0.0,0.00871040544821029,0.0069444444444444,0.0,0.0075757575757575,0.0,0.0454545454545454,0.0071428571428571,0.0,0.0060975609756097,0.0138888888888888,0.0,0.00871040544821029,0.0015151515151515097,0.0,0.0755555555555556,0.9333333333333332
Hindu,0.0069444444444444,0.0,0.0,0.0,-0.053030303030303,0.0071428571428571,0.0,0.0060975609756097,0.0138888888888888,0.0,0.0087104054482103,0.0069444444444444,0.0,0.0,0.0,0.053030303030303,0.0071428571428571,0.0,0.0060975609756097,0.0138888888888888,0.0,0.0087104054482103,0.0,0.0,0.0574162679425838,0.935
Jewish,0.0069444444444444,0.0,0.0,0.0,-0.0303030303030303,0.0142857142857142,0.0,0.0060975609756097,0.0138888888888888,0.0,0.00715196388976874,0.0069444444444444,0.0,0.0,0.0,0.0454545454545454,0.0142857142857142,0.0,0.0060975609756097,0.0138888888888888,0.0,0.00866711540492025,0.00298701298701298,0.0,0.0521327014218009,0.9366666666666666
Mormon,0.0069444444444444,0.0,0.0,0.0,-0.0303030303030303,0.0071428571428571,0.0,0.0060975609756097,0.0138888888888888,0.0,0.0064376781754830305,0.0069444444444444,0.0,0.0,0.0,0.0303030303030303,0.0071428571428571,0.0,0.0060975609756097,0.0138888888888888,0.0,0.0064376781754830305,0.0022727272727272696,0.0,0.028436018957346,0.93
Muslim,0.0069444444444444,0.0,0.0075757575757575,0.0,-0.053030303030303,0.0071428571428571,0.0,0.0060975609756097,0.0138888888888888,0.0,0.00946798120578605,0.0069444444444444,0.0,0.0075757575757575,0.0,0.0681818181818181,0.0071428571428571,0.0,0.0060975609756097,0.0138888888888888,0.0,0.010983132720937561,0.00075757575757575,0.0,0.0469483568075117,0.9316666666666666
Protestant,0.0069444444444444,0.0,0.0151515151515151,0.0,-0.0378787878787878,0.0071428571428571,0.0,0.0060975609756097,0.0138888888888888,0.0,0.00871040544821029,0.0069444444444444,0.0,0.0151515151515151,0.0,0.0378787878787878,0.0071428571428571,0.0,0.0060975609756097,0.0138888888888888,0.0,0.00871040544821029,0.00303030303030303,0.0,0.0699774266365689,0.9283333333333332
Sikh,0.0069444444444444,0.0,0.0,0.0,-0.053030303030303,0.0071428571428571,0.0,0.0060975609756097,0.0138888888888888,0.0138888888888888,0.01009929433709918,0.0069444444444444,0.0,0.0,0.0,0.0681818181818181,0.0071428571428571,0.0,0.0060975609756097,0.0138888888888888,0.0138888888888888,0.011614445852250691,0.00138888888888888,0.0,0.0813397129186603,0.9316666666666666
Orthodox,,,,,,,,,,,,,,,,,,,,,,,,,0.0585585585585586,0.9333333333333332
