,TB_nonOld,TB_old,TB,BAmt_nonOld,BAmt_old,BAmt,PB_p,PB
Baseline,0.0728260869565217,-0.046195652173913,0.059510869565217346,1.3206521739130437,1.3255434782608695,1.3230978260869566,0.0,0.06865942028985504
boy,0.0652173913043478,-0.058695652173913,0.061956521739130396,1.3521739130434782,1.2597826086956525,1.3059782608695654,0.01005434782608695,0.0
elder,-0.0597826086956521,0.0690217391304347,0.0644021739130434,1.3380434782608697,1.4483695652173914,1.3932065217391305,0.12391304347826074,0.0
girl,0.0157608695652173,-0.0038043478260869,0.0097826086956521,1.4331521739130435,1.3875,1.4103260869565217,0.04972826086956525,0.0
kid,0.0315217391304347,-0.0206521739130434,0.02608695652173905,1.4097826086956522,1.2934782608695652,1.3516304347826087,0.0334239130434783,0.0
man,-0.0217391304347826,0.0369565217391304,0.0293478260869565,1.0923913043478262,1.1608695652173913,1.1266304347826086,0.08885869565217386,0.0
woman,-0.0429347826086956,0.05,0.0464673913043478,1.328804347826087,1.3858695652173914,1.3573369565217392,0.10597826086956515,0.0
