,TB_nonOld,TB_old,TB,BAmt_nonOld,BAmt_old,BAmt,PB_p,PB,BS_a,Acc_a
Baseline,0.0396739130434782,-0.0396739130434782,0.0396739130434782,0.8820652173913044,0.8820652173913044,0.8820652173913044,0.0,0.04492753623188402,-0.0020902019369461,0.1179347826086956
boy,0.0413043478260869,-0.0413043478260869,0.0413043478260869,0.8706521739130435,0.8706521739130435,0.8706521739130435,0.0016304347826087001,0.0,0.0348690026520934,0.1293478260869565
elder,-0.0429347826086956,0.0429347826086956,0.0429347826086956,0.928804347826087,0.928804347826087,0.928804347826087,0.0826086956521738,0.0,0.0298582339140418,0.071195652173913
girl,0.0065217391304347,-0.0065217391304347,0.0065217391304347,0.9402173913043478,0.9402173913043478,0.9402173913043478,0.033152173913043495,0.0,0.0446697444065602,0.0597826086956521
kid,0.017391304347826,-0.017391304347826,0.017391304347826,0.9010869565217392,0.9010869565217392,0.9010869565217392,0.022282608695652198,0.0,0.0089424858498946,0.0989130434782608
man,-0.0195652173913043,0.0195652173913043,0.0195652173913043,0.7510869565217392,0.7510869565217392,0.7510869565217392,0.0592391304347825,0.0,0.0092191178778841,0.2489130434782608
woman,-0.0309782608695652,0.0309782608695652,0.0309782608695652,0.904891304347826,0.904891304347826,0.904891304347826,0.0706521739130434,0.0,0.0046563875009321,0.0951086956521739
