,nonOld,old
boy,0.039364572546590024,0.01439252882331978
elder,-0.013456202667848962,0.056431497035181355
girl,0.014954133601091681,0.016796072456815962
kid,0.04670955427940356,0.0012484111081494803
man,0.0168127894367127,0.02986094615865184
woman,0.00494231126327078,0.0172202428952163
