,BS_a,BS_d,Diff_Bias_a,Diff_Bias_d,Acc_a,Acc_d,Diff_BS_a,Diff_BS_d,nonOld_polarity_amb,old_polarity_amb,TB_polarity_amb,PB_polarity_amb,nonOld_polarity_dis,old_polarity_dis,TB_polarity_dis,PB_polarity_dis,nonOld_amount_amb,old_amount_amb,TB_amount_amb,PB_amount_amb,nonOld_amount_dis,old_amount_dis,TB_amount_dis,PB_amount_dis
Baseline,0.0205575536807744,0.038699819039978,0.2598913043478261,0.1193478260869564,0.4685869565217391,0.899891304347826,0.0,0.0,0.0932608695652173,-0.0081521739130434,0.05070652173913035,0.0,0.0238043478260869,0.0157608695652173,0.0197826086956521,0.0,0.2880434782608695,0.2433695652173912,0.26570652173913034,0.0,0.041195652173913,0.0279347826086956,0.034565217391304304,0.0
boy,0.0450955465857363,0.0542178494822716,0.2726086956521739,0.107391304347826,0.1776086956521738,0.8671739130434784,0.0245379929049619,0.0155180304422936,0.0427173913043477,-0.0224999999999999,0.0326086956521738,0.03244565217391305,0.0219565217391303,0.0158695652173912,0.018913043478260748,0.0009782608695652513,0.5148913043478262,0.3075,0.4111956521739131,0.14548913043478273,0.0706521739130434,0.032391304347826,0.0515217391304347,0.0169565217391304
girl,0.062781356619443,0.0770601363074799,0.2390217391304347,0.0736956521739129,0.1894565217391304,0.8527173913043479,0.04222380293866859,0.0383603172675019,0.0566304347826086,-0.0182608695652173,0.03744565217391295,0.023369565217391298,0.012391304347826,0.0122826086956521,0.012336956521739051,0.00744565217391305,0.4992391304347826,0.3113043478260869,0.40527173913043474,0.1395652173913044,0.0769565217391304,0.0377173913043478,0.0573369565217391,0.022771739130434798
kid,0.0429382397795768,0.0524777493483534,0.1901086956521739,0.1169565217391304,0.1827173913043477,0.8354347826086957,0.0223806860988024,0.013777930308375395,0.0499999999999999,-0.0294565217391304,0.03972826086956515,0.0322826086956522,0.0265217391304347,0.0140217391304347,0.0202717391304347,0.0022282608695652004,0.58,0.2372826086956521,0.40864130434782603,0.14902173913043476,0.0999999999999999,0.0283695652173912,0.06418478260869555,0.029619565217391248
man,0.053938657575143,0.0684014992921628,0.2989130434782608,0.1006521739130434,0.2178260869565217,0.8542391304347825,0.033381103894368595,0.029701680252184795,0.0241304347826086,0.0049999999999999,0.01456521739130425,0.041141304347826,0.0146739130434782,0.0178260869565216,0.0162499999999999,0.0055978260869564995,0.3389130434782608,0.4432608695652174,0.3910869565217391,0.12538043478260874,0.0438043478260869,0.0630434782608695,0.053423913043478204,0.018858695652173903
woman,0.0555331649239109,0.0699475381613757,0.2710869565217391,0.0560869565217391,0.2134782608695651,0.8523913043478262,0.0349756112431365,0.03124771912139769,0.0327173913043477,0.0124999999999999,0.0226086956521738,0.04059782608695645,0.0067391304347826,0.0096739130434782,0.0082065217391304,0.011576086956521701,0.3783695652173912,0.4081521739130435,0.39326086956521733,0.127554347826087,0.0582608695652173,0.0511956521739129,0.0547282608695651,0.0201630434782608
elder,0.0433281890624234,0.0548771181474254,0.2847826086956521,0.1030434782608695,0.2043478260869565,0.8386956521739132,0.022770635381649,0.016177299107447397,-0.0071739130434782,0.0667391304347825,0.036956521739130346,0.0876630434782607,0.0076086956521738,0.0258695652173912,0.0167391304347825,0.0131521739130435,0.2080434782608695,0.5876086956521739,0.39782608695652166,0.21211956521739136,0.0230434782608695,0.0930434782608695,0.0580434782608695,0.04163043478260871
