,TB_nonOld,TB_old,TB,BAmt_nonOld,BAmt_old,BAmt,PB_p,PB,BS_a,Acc_a
Baseline,0.079891304347826,0.0010869565217391,0.04048913043478255,0.2820652173913043,0.2521739130434782,0.2671195652173912,0.0,0.04026268115942023,0.0158981886092326,0.4657608695652174
boy,0.0701086956521739,-0.0315217391304347,0.0508152173913043,0.5103260869565217,0.3076086956521739,0.4089673913043478,0.021195652173912952,0.0,0.0310843054082714,0.1820652173913043
elder,-0.0472826086956521,0.083695652173913,0.06548913043478255,0.2125,0.6369565217391304,0.4247282608695652,0.10489130434782601,0.0,0.0426181151157602,0.1505434782608695
girl,0.0760869565217391,-0.0005434782608695,0.0383152173913043,0.4380434782608696,0.3244565217391304,0.38125,0.002717391304347753,0.0,0.0544336706014615,0.2375
kid,0.0554347826086956,-0.029891304347826,0.042663043478260804,0.6086956521739131,0.2092391304347826,0.40896739130434784,0.02771739130434775,0.0,0.0535442634213366,0.1820652173913043
man,0.017391304347826,0.0190217391304347,0.01820652173913035,0.3119565217391304,0.4733695652173913,0.39266304347826086,0.0402173913043478,0.0,0.0546235932774775,0.2146739130434782
woman,0.0364130434782608,0.0472826086956521,0.04184782608695645,0.3440217391304347,0.4244565217391304,0.3842391304347825,0.0448369565217391,0.0,0.0491826086956522,0.2315217391304347
