,TB_nonOld,TB_old,TB,BAmt_nonOld,BAmt_old,BAmt,PB_p,PB,BS_d,Acc_d,TB_nonOld_std,TB_old_std,TB_std,BAmt_nonOld_std,BAmt_old_std,BAmt_std,PB_p_std,PB_std,BS_d_std,Acc_d_std
Baseline,0.00804454216611102,-0.00804454216611102,0.00804454216611102,0.06913800033099271,0.06913800033099271,0.06913800033099271,0.0,0.012356028008290481,0.03869981903997806,0.899891304347826,0.001987417880379744,0.001987417880379744,0.001987417880379744,0.0018011240277751776,0.0018011240277751776,0.0018011240277751776,0.0,0.006140540590226845,0.005566990400879107,0.0026713490711835802
boy,0.0060869565217391,-0.0060869565217391,0.0113043478260869,0.1030434782608695,0.1030434782608695,0.1030434782608695,0.00739236825306754,0.0,0.054217849482271666,0.8671739130434784,0.010140785904078733,0.010140785904078733,0.0034782608695652,0.012886739421981675,0.012886739421981675,0.012886739421981675,0.007949495111558973,0.0,0.02023540662879795,0.021930139121545945
elder,-0.018260869565217358,0.018260869565217358,0.02152173913043472,0.11608695652173909,0.11608695652173909,0.11608695652173909,0.02760975955741532,0.0,0.05487711814742544,0.8386956521739132,0.016529603391484373,0.016529603391484373,0.011979227452518311,0.02456281250252151,0.02456281250252151,0.02456281250252151,0.01633936839603767,0.0,0.007285395143708245,0.032917738450961305
girl,0.00010869565217392005,-0.00010869565217392005,0.00836956521739124,0.11467391304347822,0.11467391304347822,0.11467391304347822,0.011631498687850138,0.0,0.07706013630747995,0.8527173913043479,0.01057983422599457,0.01057983422599457,0.006472641274330159,0.025989400922346344,0.025989400922346344,0.025989400922346344,0.008198275248182509,0.0,0.01015050098416105,0.03226631853666084
kid,0.012501182116934979,-0.012501182116934979,0.012501182116934979,0.12838859730004487,0.12838859730004487,0.12838859730004487,0.005326205168215281,0.0,0.0524777493483534,0.8354347826086957,0.00660246614365015,0.00660246614365015,0.00660246614365015,0.031783834338337376,0.031783834338337376,0.031783834338337376,0.00524939254293313,0.0,0.012200059309155124,0.032910559322713376
man,-0.00315235123058372,0.00315235123058372,0.00445669905667064,0.10685675106981578,0.10685675106981578,0.10685675106981578,0.01119689339669474,0.0,0.06840149929216288,0.8542391304347825,0.003787157331392858,0.003787157331392858,0.0021018354959312095,0.018810499395916874,0.018810499395916874,0.018810499395916874,0.0033795979564987646,0.0,0.014002300836292598,0.025357556488697888
woman,-0.0029349008203891198,0.0029349008203891198,0.00402185734212824,0.10946562403952995,0.10946562403952995,0.10946562403952995,0.01097944298650012,0.0,0.06994753816137572,0.8523913043478262,0.004644705286038624,0.004644705286038624,0.003743206318017354,0.01973547141518367,0.01973547141518367,0.01973547141518367,0.005251481698256608,0.0,0.01068831044885054,0.02350340843238504
