,TB_nonOld,TB_old,TB,BAmt_nonOld,BAmt_old,BAmt,PB_p,PB,BS_d,Acc_d
Baseline,0.0271739130434782,0.0076086956521739,0.01739130434782605,0.1054347826086956,0.0967391304347826,0.1010869565217391,0.0,0.012001811594202891,0.0420639371845203,0.9016304347826088
boy,0.042391304347826,0.0032608695652173,0.022826086956521652,0.1608695652173913,0.1260869565217391,0.1434782608695652,0.0097826086956522,0.0,0.0598006644518271,0.8858695652173914
elder,0.0016304347826086,0.0277173913043478,0.0146739130434782,0.104891304347826,0.1494565217391304,0.1271739130434782,0.022826086956521753,0.0,0.055524397083567,0.8842391304347826
girl,0.0054347826086956,0.0135869565217391,0.00951086956521735,0.183695652173913,0.1407608695652173,0.16222826086956516,0.0138586956521739,0.0,0.0799112097669256,0.871195652173913
kid,0.0260869565217391,0.004891304347826,0.01548913043478255,0.2,0.1342391304347826,0.1671195652173913,0.0019021739130435002,0.0,0.0354767184035476,0.8690217391304348
man,0.0217391304347826,0.0266304347826086,0.024184782608695603,0.1239130434782608,0.1222826086956521,0.12309782608695646,0.01222826086956515,0.0,0.052808988764045,0.8853260869565217
woman,0.0097826086956521,0.0130434782608695,0.0114130434782608,0.1304347826086956,0.1206521739130434,0.1255434782608695,0.01141304347826085,0.0,0.0633053221288515,0.8864130434782609
