,BS_a,BS_d,Diff_Bias_a,Diff_Bias_d,Acc_a,Acc_d,Diff_BS_a,Diff_BS_d,nonOld_polarity_amb,old_polarity_amb,TB_polarity_amb,PB_polarity_amb,diff_TB_polarity_amb,nonOld_polarity_dis,old_polarity_dis,TB_polarity_dis,PB_polarity_dis,diff_TB_polarity_dis,nonOld_amount_amb,old_amount_amb,TB_amount_amb,PB_amount_amb,diff_TB_amount_amb,nonOld_amount_dis,old_amount_dis,TB_amount_dis,PB_amount_dis,diff_TB_amount_dis
Baseline,0.0253950828461282,0.0287727539635935,0.0320652173913043,0.0576086956521739,0.5135869565217391,0.117391304347826,0.0,0.0,0.0418478260869565,-0.0418478260869565,0.083695652173913,0.0,0.0,-0.0043620501635768,0.0043620501635768,0.0087241003271536,0.0,0.0,0.8722826086956522,0.8722826086956522,1.7445652173913044,0.0,0.0,0.4133042529989095,0.4133042529989095,0.826608505997819,0.0,0.0
boy,0.0363109219025248,0.0405167351732236,0.0804347826086956,0.075,0.5396739130434782,0.1038043478260869,0.0109158390563966,0.011743981209630102,0.0358695652173913,-0.0358695652173913,0.0717391304347826,0.011956521739130407,-0.011956521739130407,0.0021786492374727,-0.0021786492374727,0.0043572984749454,0.013081398802099,-0.0043668018522082,0.8913043478260869,0.8913043478260869,1.7826086956521738,0.0380434782608694,0.0380434782608694,0.3867102396514161,0.3867102396514161,0.7734204793028322,0.05318802669498679,-0.05318802669498679
girl,0.0306207506460272,0.0328909405654933,0.0597826086956521,0.0565217391304347,0.5521739130434783,0.0690217391304347,0.0052256677998989975,0.0041181866018998,0.0260869565217391,-0.0260869565217391,0.0521739130434782,0.0315217391304348,-0.0315217391304348,0.0049180327868852,-0.0049180327868852,0.0098360655737704,0.018560165900924,0.0011119652466168011,0.9228260869565216,0.9228260869565216,1.8456521739130431,0.10108695652173871,0.10108695652173871,0.3918032786885246,0.3918032786885246,0.7836065573770492,0.04300194862076978,-0.04300194862076978
kid,0.039666774265637,0.0428326670474015,0.0733695652173913,0.0999999999999999,0.5554347826086956,0.0739130434782608,0.014271691419508799,0.014059913083807999,0.0320652173913043,-0.0320652173913043,0.0641304347826086,0.0195652173913044,-0.0195652173913044,0.000544069640914,-0.000544069640914,0.001088139281828,0.0098122396089816,-0.007635961045325599,0.9146739130434782,0.9146739130434782,1.8293478260869565,0.08478260869565202,0.08478260869565202,0.3966267682263329,0.3966267682263329,0.7932535364526658,0.03335496954515316,-0.03335496954515316
man,0.0515312131919905,0.0588928150765606,0.0684782608695652,0.0858695652173913,0.5429347826086957,0.125,0.026136130345862298,0.0301200611129671,-0.0206521739130434,0.0206521739130434,0.0413043478260868,0.1249999999999998,-0.0423913043478262,-0.0082146768893756,0.0082146768893756,0.0164293537787512,0.0077052534515976,0.0077052534515976,0.8576086956521739,0.8576086956521739,1.7152173913043478,0.02934782608695663,-0.02934782608695663,0.3828039430449069,0.3828039430449069,0.7656078860898138,0.061000619908005205,-0.061000619908005205
woman,0.0110403726708073,0.0122448979591835,0.0684782608695652,0.0608695652173913,0.5293478260869565,0.0983695652173913,-0.014354710175320902,-0.01652785600441,0.0152173913043478,-0.0152173913043478,0.0304347826086956,0.0532608695652174,-0.0532608695652174,-0.0049369171695008,0.0049369171695008,0.0098738343390016,0.0011497340118480012,0.0011497340118480012,0.8847826086956522,0.8847826086956522,1.7695652173913043,0.02499999999999991,0.02499999999999991,0.4064728469555677,0.4064728469555677,0.8129456939111354,0.013662812086683629,-0.013662812086683629
elder,0.0506806176351076,0.0560747663551401,0.0668478260869565,0.1,0.5413043478260869,0.096195652173913,0.0252855347889794,0.027302012391546605,-0.0353260869565217,0.0353260869565217,0.0706521739130434,0.1543478260869564,-0.013043478260869601,0.0032858707557502,-0.0032858707557502,0.0065717415115004,0.015295841838654,-0.0021523588156531995,0.8961956521739131,0.8961956521739131,1.7923913043478261,0.047826086956521685,0.047826086956521685,0.3921139101861993,0.3921139101861993,0.7842278203723986,0.04238068562542041,-0.04238068562542041
