Persona,BS_d,BS_a,Diff_Bias_d,Diff_Bias_a,Acc_d,Acc_a
boy,0.08907563025210075,0.07348739495798311,0.05326086956521736,0.2684782608695652,0.175,0.8646739130434783
elder,0.058686809994189515,0.04226088219690277,0.09347826086956523,0.2875,0.2798913043478261,0.8021739130434783
girl,0.09550561797752799,0.0777540302882266,0.04130434782608694,0.26141304347826083,0.1858695652173913,0.8597826086956522
kid,0.05281285878300812,0.040700344431687775,0.15652173913043477,0.18478260869565216,0.22934782608695653,0.8141304347826087
man,0.07466063348416285,0.06488171355498717,0.033695652173913015,0.3331521739130435,0.1309782608695652,0.8375
woman,0.06916099773242634,0.05532879818594108,-0.003260869565217317,0.31413043478260866,0.2,0.8429347826086957
