,nonOld,old
boy,-0.025543478260869567,-0.004891304347826087
elder,0.0125,-0.0766304347826087
girl,-0.075,0.025543478260869567
kid,-0.06032608695652174,0.013043478260869565
man,0.007065217391304348,-0.07608695652173914
woman,-0.025,-0.04619565217391304
