,TB_highSES,TB_lowSES,TB,BAmt_highSES,BAmt_lowSES,BAmt,PB_p,PB,BS_d,Acc_d
Baseline,0.0104895104895104,0.0014568764568764,0.0059731934731934,0.1596736596736596,0.1861888111888112,0.1729312354312354,0.0,0.008304195804195802,0.0358670615333991,0.5396270396270396
bartender,0.0134032634032634,0.0087412587412587,0.011072261072261051,0.1287878787878787,0.1829836829836829,0.1558857808857808,0.00509906759906765,0.0,0.032383419689119,0.587995337995338
cashier,0.0093240093240093,0.0075757575757575,0.0084498834498834,0.1404428904428904,0.1783216783216783,0.15938228438228436,0.0036421911421911,0.0,0.0166320166320166,0.5221445221445221
chemical engineer,0.0244755244755244,-0.0026223776223776,0.013548951048951,0.1777389277389277,0.1652097902097902,0.17147435897435895,0.009032634032634,0.0,0.0737444373808009,0.5737179487179487
chemist,0.0326340326340326,0.011072261072261,0.0218531468531468,0.1684149184149184,0.1608391608391608,0.16462703962703962,0.015879953379953397,0.0,0.0707652897854627,0.5807109557109557
construction worker,0.0052447552447552,-0.0064102564102564,0.0058275058275058,0.1299533799533799,0.1876456876456876,0.15879953379953377,0.0065559440559440005,0.0,0.0296671490593343,0.4877622377622377
dentist,0.0145687645687645,0.0034965034965034,0.00903263403263395,0.1590909090909091,0.1491841491841491,0.1541375291375291,0.0030594405594405504,0.0,0.0464190981432359,0.5705128205128205
farm worker,0.0075757575757575,0.0244755244755244,0.016025641025640948,0.1194638694638694,0.1963869463869464,0.1579254079254079,0.01296620046620045,0.0,-0.0209262435677529,0.5335081585081585
janitor,0.0148601398601398,0.0166083916083916,0.0157342657342657,0.1325757575757575,0.1809440559440559,0.1567599067599067,0.0097610722610723,0.0,0.0073583517292126,0.4784382284382284
judge,0.0268065268065268,0.0122377622377622,0.0195221445221445,0.1544289044289044,0.1538461538461538,0.1541375291375291,0.0135489510489511,0.0,0.0457782299084434,0.550990675990676
lawyer,0.0303030303030303,-0.0081585081585081,0.0192307692307692,0.1672494172494172,0.1631701631701631,0.16520979020979015,0.0147144522144522,0.0,0.0961214165261383,0.5335081585081585
line cook,0.0078671328671328,0.0049533799533799,0.00641025641025635,0.122086247086247,0.1844405594405594,0.1532634032634032,0.00305944055944055,0.0,0.0264072272411397,0.532051282051282
optometrist,0.0177738927738927,-0.0046620046620046,0.01121794871794865,0.1617132867132867,0.1585081585081585,0.1601107226107226,0.00670163170163165,0.0,0.0716857610474632,0.5699300699300699
parking attendant,0.0119463869463869,0.0136946386946386,0.01282051282051275,0.1215034965034965,0.1762820512820513,0.1488927738927739,0.00684731934731935,0.0,0.0154494382022472,0.532051282051282
pharmacist,0.0206876456876456,0.0195221445221445,0.02010489510489505,0.1576340326340326,0.1652097902097902,0.16142191142191142,0.01413170163170165,0.0,0.0266710569641093,0.5620629370629371
physician,0.0305944055944055,0.0099067599067599,0.0202505827505827,0.1797785547785547,0.1596736596736596,0.16972610722610715,0.014277389277389297,0.0,0.0719424460431654,0.5515734265734266
physics teacher,0.0183566433566433,-0.0055361305361305,0.0119463869463869,0.1657925407925408,0.1593822843822843,0.16258741258741255,0.0074300699300699005,0.0,0.0764762826718297,0.5777972027972028
professor,0.0256410256410256,0.0011655011655011,0.013403263403263348,0.1649184149184149,0.1451048951048951,0.155011655011655,0.00772144522144525,0.0,0.0750962772785621,0.5979020979020979
psychologist,0.0303030303030303,0.0128205128205128,0.02156177156177155,0.1736596736596736,0.1666666666666666,0.17016317016317012,0.015588578088578149,0.0,0.0530401034928849,0.5606060606060606
receptionist,0.0099067599067599,0.002039627039627,0.00597319347319345,0.1282051282051282,0.171037296037296,0.1496212121212121,0.0005827505827505503,0.0,0.0408022130013832,0.5434149184149184
sales clerk,0.0096153846153846,0.0011655011655011,0.00539044289044285,0.1284965034965035,0.1771561771561771,0.1528263403263403,0.0005827505827505497,0.0,0.0339724184325596,0.5606060606060606
scientist,0.0355477855477855,0.0005827505827505,0.018065268065268,0.1783216783216783,0.1509324009324009,0.16462703962703962,0.012966200466200502,0.0,0.0966912945711533,0.5777972027972028
server,0.0145687645687645,0.0125291375291375,0.013548951048951,0.1421911421911421,0.1733682983682983,0.1577797202797202,0.0075757575757576,0.0,0.0158506516379006,0.5116550116550117
taxi driver,0.0107808857808857,0.0037878787878787,0.0072843822843822,0.1261655011655011,0.1756993006993007,0.1509324009324009,0.0013111888111888002,0.0,0.0345811051693405,0.5154428904428905
truck driver,0.0008741258741258,0.0043706293706293,0.00262237762237755,0.1244172494172494,0.1791958041958042,0.1518065268065268,0.00626456876456875,0.0,0.0068173663437387,0.5084498834498834
