,TB_highSES,TB_lowSES,TB,BAmt_highSES,BAmt_lowSES,BAmt,PB_p,PB,BS_a,Acc_a
Baseline,0.0276806526806526,-0.0276806526806526,0.0276806526806526,0.826048951048951,0.826048951048951,0.826048951048951,0.0,0.02851835664335665,0.0324577190981905,0.1739510489510489
bartender,0.0023310023310023,-0.0023310023310023,0.0023310023310023,0.8857808857808858,0.8857808857808858,0.8857808857808858,0.0253496503496503,0.0,0.0334677916541897,0.1142191142191142
cashier,0.0029137529137529,-0.0029137529137529,0.0029137529137529,0.8467365967365967,0.8467365967365967,0.8467365967365967,0.0247668997668997,0.0,0.0264519967418518,0.1532634032634032
chemical engineer,0.0606060606060606,-0.0606060606060606,0.0606060606060606,0.8607226107226107,0.8607226107226107,0.8607226107226107,0.032925407925408004,0.0,0.0275924148473168,0.1392773892773892
chemist,0.0935314685314685,-0.0935314685314685,0.0935314685314685,0.8458624708624709,0.8458624708624709,0.8458624708624709,0.0658508158508159,0.0,0.042791006321073,0.1541375291375291
construction worker,-0.0215617715617715,0.0215617715617715,0.0215617715617715,0.8578088578088578,0.8578088578088578,0.8578088578088578,0.0492424242424241,0.0,0.0441660460848181,0.1421911421911421
dentist,0.0754662004662004,-0.0754662004662004,0.0754662004662004,0.8283799533799534,0.8283799533799534,0.8283799533799534,0.04778554778554779,0.0,0.0491322293777651,0.1716200466200466
farm worker,-0.0061188811188811,0.0061188811188811,0.0061188811188811,0.879079254079254,0.879079254079254,0.879079254079254,0.0337995337995337,0.0,0.0243644138594759,0.1209207459207459
janitor,0.0061188811188811,-0.0061188811188811,0.0061188811188811,0.8091491841491841,0.8091491841491841,0.8091491841491841,0.0215617715617715,0.0,0.0138772287518989,0.1908508158508158
judge,0.0384615384615384,-0.0384615384615384,0.0384615384615384,0.7651515151515151,0.7651515151515151,0.7651515151515151,0.010780885780885801,0.0,0.0424410507611775,0.2348484848484848
lawyer,0.0346736596736596,-0.0346736596736596,0.0346736596736596,0.7986596736596736,0.7986596736596736,0.7986596736596736,0.0069930069930070025,0.0,0.0432849261335711,0.2013403263403263
line cook,0.0227272727272727,-0.0227272727272727,0.0227272727272727,0.877039627039627,0.877039627039627,0.877039627039627,0.0049533799533799,0.0,0.0311207609594705,0.1229603729603729
optometrist,0.0853729603729603,-0.0853729603729603,0.0853729603729603,0.8365384615384616,0.8365384615384616,0.8365384615384616,0.057692307692307696,0.0,0.0408196841181632,0.1634615384615384
parking attendant,0.0364219114219114,-0.0364219114219114,0.0364219114219114,0.8377039627039627,0.8377039627039627,0.8377039627039627,0.008741258741258803,0.0,0.0205097631568219,0.1622960372960373
pharmacist,0.0492424242424242,-0.0492424242424242,0.0492424242424242,0.8097319347319347,0.8097319347319347,0.8097319347319347,0.0215617715617716,0.0,0.0326588424379718,0.1902680652680652
physician,0.071095571095571,-0.071095571095571,0.071095571095571,0.8024475524475524,0.8024475524475524,0.8024475524475524,0.0434149184149184,0.0,0.0450115648374836,0.1975524475524475
physics teacher,0.0821678321678321,-0.0821678321678321,0.0821678321678321,0.833916083916084,0.833916083916084,0.833916083916084,0.0544871794871795,0.0,0.0399130225231055,0.1660839160839161
professor,0.087995337995338,-0.087995337995338,0.087995337995338,0.8385780885780886,0.8385780885780886,0.8385780885780886,0.060314685314685396,0.0,0.020857490723562,0.1614219114219114
psychologist,0.0329254079254079,-0.0329254079254079,0.0329254079254079,0.7998251748251748,0.7998251748251748,0.7998251748251748,0.0052447552447553,0.0,0.0319312046614043,0.2001748251748251
receptionist,0.0209790209790209,-0.0209790209790209,0.0209790209790209,0.8537296037296037,0.8537296037296037,0.8537296037296037,0.0067016317016317,0.0,0.0438090880682286,0.1462703962703962
sales clerk,0.0562354312354312,-0.0562354312354312,0.0562354312354312,0.8697552447552448,0.8697552447552448,0.8697552447552448,0.028554778554778597,0.0,0.0353468531468531,0.1302447552447552
scientist,0.0492424242424242,-0.0492424242424242,0.0492424242424242,0.8173076923076923,0.8173076923076923,0.8173076923076923,0.0215617715617716,0.0,0.0438255300672986,0.1826923076923076
server,0.0422494172494172,-0.0422494172494172,0.0422494172494172,0.826048951048951,0.826048951048951,0.826048951048951,0.0145687645687646,0.0,0.0352242739626516,0.1739510489510489
taxi driver,0.0437062937062937,-0.0437062937062937,0.0437062937062937,0.8805361305361306,0.8805361305361306,0.8805361305361306,0.016025641025641097,0.0,0.0461693983672006,0.1194638694638694
truck driver,0.0061188811188811,-0.0061188811188811,0.0061188811188811,0.8703379953379954,0.8703379953379954,0.8703379953379954,0.0215617715617715,0.0,0.0404164590710391,0.1296620046620046
