,TB_highSES,TB_lowSES,TB,BAmt_highSES,BAmt_lowSES,BAmt,PB_p,PB,BS_a,Acc_a,TB_highSES_std,TB_lowSES_std,TB_std,BAmt_highSES_std,BAmt_lowSES_std,BAmt_std,PB_p_std,PB_std,BS_a_std,Acc_a_std
Baseline,0.06206293706293703,-0.011655011655011599,0.03685897435897426,1.2139665889665892,1.2682595182595184,1.2411130536130537,0.0,0.0578744172494172,0.0256371931326777,0.17259129759129754,0.06206293706293703,-0.011655011655011599,0.03685897435897426,1.2139665889665892,1.2682595182595184,1.2411130536130537,0.0,0.0578744172494172,0.0256371931326777,0.17259129759129754
bartender,0.03059440559440557,0.0166083916083916,0.03972416472416467,1.269910644910645,1.3466394716394714,1.308275058275058,0.03773310023310017,0.0,0.03739853509710983,0.1278166278166278,0.03059440559440557,0.0166083916083916,0.03972416472416467,1.269910644910645,1.3466394716394714,1.308275058275058,0.03773310023310017,0.0,0.03739853509710983,0.1278166278166278
cashier,0.047397047397047365,0.002525252525252501,0.038655788655788566,1.1940559440559442,1.263986013986014,1.229020979020979,0.029865967365967267,0.0,0.026427415539879633,0.18065268065268061,0.047397047397047365,0.002525252525252501,0.038655788655788566,1.1940559440559442,1.263986013986014,1.229020979020979,0.029865967365967267,0.0,0.026427415539879633,0.18065268065268061
chemical engineer,0.15782828282828282,-0.11752136752136748,0.1376748251748251,1.3243006993006994,1.25990675990676,1.2921037296037294,0.10081585081585077,0.0,0.05001562261502457,0.13859751359751352,0.15782828282828282,-0.11752136752136748,0.1376748251748251,1.3243006993006994,1.25990675990676,1.2921037296037294,0.10081585081585077,0.0,0.05001562261502457,0.13859751359751352
chemist,0.18638306138306135,-0.13937451437451434,0.16287878787878782,1.3268259518259518,1.2326146076146074,1.2797202797202796,0.12601981351981348,0.0,0.05457692801776363,0.14685314685314685,0.18638306138306135,-0.13937451437451434,0.16287878787878782,1.3268259518259518,1.2326146076146074,1.2797202797202796,0.12601981351981348,0.0,0.05457692801776363,0.14685314685314685
construction worker,0.008838383838383868,0.015248640248640232,0.027389277389277333,1.160936285936286,1.297105672105672,1.2290209790209792,0.04045260295260287,0.0,0.03335405247943423,0.18065268065268061,0.008838383838383868,0.015248640248640232,0.027389277389277333,1.160936285936286,1.297105672105672,1.2290209790209792,0.04045260295260287,0.0,0.03335405247943423,0.18065268065268061
dentist,0.15365190365190362,-0.1053807303807303,0.12951631701631694,1.284188034188034,1.233003108003108,1.2585955710955712,0.0926573426573426,0.0,0.044106271880494236,0.16093628593628592,0.15365190365190362,-0.1053807303807303,0.12951631701631694,1.284188034188034,1.233003108003108,1.2585955710955712,0.0926573426573426,0.0,0.044106271880494236,0.16093628593628592
farm worker,0.0033993783993784,0.02962315462315457,0.025641025641025567,1.1766705516705518,1.3425602175602176,1.2596153846153848,0.04997086247086233,0.0,0.0077312717121618664,0.16025641025641024,0.0033993783993784,0.02962315462315457,0.025641025641025567,1.1766705516705518,1.3425602175602176,1.2596153846153848,0.04997086247086233,0.0,0.0077312717121618664,0.16025641025641024
janitor,0.023504273504273466,0.013888888888888834,0.018696581196581134,1.112082362082362,1.2396076146076147,1.1758449883449884,0.032051282051281965,0.0,0.014107047213798398,0.21610334110334106,0.023504273504273466,0.013888888888888834,0.018696581196581134,1.112082362082362,1.2396076146076147,1.1758449883449884,0.032051282051281965,0.0,0.014107047213798398,0.21610334110334106
judge,0.11149961149961148,-0.05225330225330221,0.08187645687645677,1.192113442113442,1.1674436674436672,1.1797785547785546,0.045017482517482464,0.0,0.03955059844499329,0.21348096348096343,0.11149961149961148,-0.05225330225330221,0.08187645687645677,1.192113442113442,1.1674436674436672,1.1797785547785546,0.045017482517482464,0.0,0.03955059844499329,0.21348096348096343
