,BS_d,BS_a,Diff_Bias_d,Diff_Bias_a,Acc_d,Acc_a,African_ambig,African American_ambig,Alaskan_ambig,Arab_ambig,Asian_ambig,Black_ambig,Caucasian_ambig,European_ambig,Hispanic_ambig,Jewish_ambig,Latino_ambig,Middle Eastern_ambig,Native American_ambig,Roma_ambig,South American_ambig,White_ambig,TB_ambig,PB_ambig,African_disambig,African American_disambig,Alaskan_disambig,Arab_disambig,Asian_disambig,Black_disambig,Caucasian_disambig,European_disambig,Hispanic_disambig,Jewish_disambig,Latino_disambig,Middle Eastern_disambig,Native American_disambig,Roma_disambig,South American_disambig,White_disambig,TB_disambig,PB_disambig
Baseline,0.0125974805038993,0.0085765405058523,0.0401162790697674,0.0066860465116279,0.3191860465116279,0.751453488372093,0.0,-0.05,,0.0162835249042145,0.0532945736434108,0.0219907407407407,-0.046875,-0.0869565217391304,-0.0548780487804878,0.1071428571428571,0.0170068027210884,-0.0178571428571428,0.0833333333333333,0.0119047619047619,0.1323529411764706,0.0997340425531914,0.7996102914968296,0.0,-0.03,-0.0153846153846153,,0.0220306513409961,0.0222868217054263,-0.0034722222222222,-0.0625,0.0108695652173913,0.024390243902439,0.0357142857142857,0.0340136054421768,0.0535714285714285,0.025,0.0476190476190476,-0.0735294117647058,0.026595744680851,0.4869776435655856,0.0
African,-0.0102887487553933,-0.0060625853858087,0.0005813953488371,0.0,0.4107558139534883,0.6380813953488372,0.15,0.1923076923076923,,0.0450191570881226,-0.0222868217054263,0.1342592592592592,0.125,-0.0108695652173913,-0.048780487804878,0.0595238095238095,-0.0068027210884353,0.0089285714285714,0.0,0.0476190476190476,-0.0441176470588235,0.0332446808510638,0.9287594609525207,1.323174610555631,-0.01,0.0153846153846153,,0.0478927203065134,0.0213178294573643,0.0248842592592592,0.015625,-0.0978260869565217,-0.0304878048780487,-0.0119047619047619,0.0204081632653061,-0.0446428571428571,-0.0583333333333333,0.0238095238095238,0.1176470588235294,0.0053191489361702,0.5454831634578045,0.826690173404669
African American,0.0104849279161205,0.0062086622573074,-0.0063953488372092,-0.0017441860465116,0.4078488372093023,0.6712209302325581,0.28,0.1038461538461538,,0.0708812260536398,0.0581395348837209,0.0677083333333333,0.015625,-0.1847826086956521,0.0060975609756097,-0.0119047619047619,0.0187074829931972,-0.0714285714285714,0.0416666666666666,0.0476190476190476,0.0735294117647058,0.0292553191489361,1.0811916793139962,1.1413110386292298,0.04,-0.0038461538461538,,0.0201149425287356,0.0067829457364341,0.0162037037037037,-0.046875,0.0760869565217391,0.0548780487804878,0.119047619047619,0.0238095238095238,0.0357142857142857,-0.0083333333333333,0.0238095238095238,-0.088235294117647,0.0132978723404255,0.5770352032896121,0.4265053380873896
Alaskan,-0.0131004366812227,-0.0082030059916726,0.0255813953488373,-0.0049418604651162,0.3738372093023255,0.7290697674418605,0.16,0.0538461538461538,,0.0153256704980842,0.0067829457364341,0.0543981481481481,0.0,-0.0543478260869565,0.048780487804878,0.0595238095238095,0.0629251700680272,-0.0446428571428571,0.1166666666666666,-0.0833333333333333,0.0147058823529411,0.0545212765957446,0.829800227804034,0.9386196584083135,0.01,0.0192307692307692,,0.0,0.0193798449612403,0.0190972222222222,-0.0625,-0.0434782608695652,0.0548780487804878,0.0357142857142857,0.0221088435374149,0.0982142857142857,0.025,0.0833333333333333,-0.1911764705882352,-0.0013297872340425,0.6854411521858821,0.44479258361034396
Arab,-0.0010043521928355,-0.0006008595386208,0.0122093023255813,0.0037790697674418,0.4017441860465116,0.6409883720930233,0.08,-0.0692307692307692,,0.0727969348659003,0.0591085271317829,0.0416666666666666,0.109375,-0.1195652173913043,-0.048780487804878,0.0357142857142857,0.0025510204081632,0.1517857142857142,-0.1083333333333333,-0.0119047619047619,0.0294117647058823,0.0864361702127659,1.0266606536562077,0.9634327654060946,0.03,-0.1,,0.0277777777777777,0.0067829457364341,0.0225694444444444,0.078125,-0.0217391304347826,0.0426829268292682,-0.0119047619047619,0.0442176870748299,0.0625,-0.05,0.1904761904761904,-0.0294117647058823,0.0106382978723404,0.7288259272567119,0.7281183696715773
Asian,0.0154656136887134,0.0090365940448587,0.011627906976744,-0.007267441860465,0.4156976744186046,0.6674418604651163,0.06,0.0653846153846153,,0.0469348659003831,0.1676356589147286,0.0179398148148148,0.078125,0.1413043478260869,-0.0182926829268292,0.0833333333333333,0.0,-0.0267857142857142,0.0333333333333333,-0.0357142857142857,-0.0147058823529411,-0.0053191489361702,0.7948086837232358,1.1137501635939078,0.05,-0.0307692307692307,,0.0134099616858237,-0.0135658914728682,0.0283564814814814,0.046875,0.0434782608695652,-0.024390243902439,0.1071428571428571,0.0340136054421768,0.0,0.0083333333333333,0.0833333333333333,0.1029411764705882,0.0132978723404255,0.5999072482441223,0.7296003183355094
Black,0.0010159160176093,0.0005711574354815,0.0267441860465116,-0.0122093023255814,0.4377906976744186,0.6360465116279069,0.0,0.0846153846153846,,0.018199233716475,0.003875968992248,0.0920138888888889,0.09375,-0.0978260869565217,-0.0609756097560975,-0.0357142857142857,0.0578231292517006,0.0714285714285714,0.0416666666666666,0.0714285714285714,0.1176470588235294,0.0305851063829787,0.8775495626219196,0.8715694508070564,0.0,0.0038461538461538,,0.0517241379310344,0.0251937984496124,0.0023148148148148,0.015625,0.0,0.0975609756097561,0.0,0.0229591836734693,-0.0446428571428571,0.0416666666666666,-0.0357142857142857,-0.0147058823529411,0.026595744680851,0.38254950088244233,0.5535900891357823
Caucasian,0.0049904030710172,0.0025213141097174,-0.0145348837209302,0.0174418604651162,0.4947674418604651,0.5427325581395349,0.0,-0.023076923076923,,0.0411877394636015,0.0232558139534883,-0.0162037037037037,0.234375,-0.0760869565217391,0.0670731707317073,0.0714285714285714,0.0144557823129251,0.0,0.0083333333333333,0.0952380952380952,-0.0441176470588235,0.1023936170212766,0.817226353844188,0.9277172253627216,0.0,-0.0192307692307692,,-0.0114942528735632,0.0193798449612403,0.0347222222222222,0.140625,0.0652173913043478,-0.024390243902439,0.0595238095238095,0.0170068027210884,0.0089285714285714,-0.025,0.0238095238095238,-0.0441176470588235,0.0132978723404255,0.5067439513768237,0.616704137670479
European,0.0209745079057761,0.0126456771501685,0.0290697674418605,0.0090116279069767,0.3970930232558139,0.6755813953488372,0.03,-0.0653846153846153,,0.0421455938697318,0.0445736434108527,0.0208333333333333,0.140625,0.2608695652173913,0.024390243902439,-0.0476190476190476,0.0629251700680272,-0.0446428571428571,-0.0833333333333333,0.0,0.2205882352941176,0.0957446808510638,1.18367531942681,1.1939814724153075,-0.02,-0.0038461538461538,,0.0229885057471264,0.0406976744186046,-0.011574074074074,-0.015625,0.0217391304347826,0.0365853658536585,0.0595238095238095,0.0289115646258503,0.0446428571428571,0.1,-0.0119047619047619,-0.1029411764705882,0.0279255319148936,0.5489056059571605,0.32205420519638894
Hispanic,0.0048590864917394,0.0030651795601961,0.0151162790697674,-0.0052325581395348,0.3691860465116279,0.6651162790697674,0.08,-0.0038461538461538,,0.0507662835249042,-0.0339147286821705,0.0532407407407407,0.125,-0.0978260869565217,0.1646341463414634,0.0952380952380952,0.1717687074829932,-0.0982142857142857,0.0083333333333333,0.119047619047619,0.0441176470588235,0.0186170212765957,1.1645648492437002,1.2798716495003692,-0.06,-0.0653846153846153,,0.0172413793103448,0.0135658914728682,0.0144675925925925,0.03125,0.0434782608695652,0.1097560975609756,0.0833333333333333,0.0246598639455782,0.0267857142857142,0.05,0.1904761904761904,0.088235294117647,0.0292553191489361,0.8478895524983608,0.7392144929976758
